Month,SIP Contributions (Rs. Cr),SIP Accounts (Lakh),SIP AUM (Rs. Cr)
Mar-2022,13499.0,183.98,159400.0
Apr-2022,13395.0,172.69,157839.0
May-2022,13799.0,183.69,162380.0
Jun-2022,14030.0,178.01,164996.0
Jul-2022,14233.0,169.2,167421.0
Aug-2022,14505.0,183.25,170792.0
Sep-2022,14680.0,194.32,173164.0
Oct-2022,14787.0,193.51,174864.0
Nov-2022,14946.0,185.93,177277.0
Dec-2022,14537.0,178.54,173031.0
Jan-2023,15131.0,183.57,180796.0
Feb-2023,15397.0,191.5,184702.0
Mar-2023,15453.0,192.33,186110.0
Apr-2023,16052.0,187.38,194065.0
May-2023,16134.0,188.14,195740.0
Jun-2023,15766.0,182.57,191867.0
Jul-2023,16078.0,195.77,196148.0
Aug-2023,16645.0,189.08,203441.0
Sep-2023,16716.0,185.78,204532.0
Oct-2023,16312.0,183.07,199660.0
Nov-2023,16060.0,188.04,196490.0
Dec-2023,16953.0,188.61,207158.0
Jan-2024,17470.0,200.0,213068.0
Feb-2024,17044.0,196.58,207333.0
Mar-2024,17210.0,194.69,208709.0
Apr-2024,17742.0,207.06,214389.0
May-2024,18114.0,208.01,218048.0
Jun-2024,17775.0,203.99,213121.0
Jul-2024,17627.0,206.49,210503.0
Aug-2024,18903.0,202.52,224888.0
Sep-2024,18666.0,203.52,221303.0
Oct-2024,18854.0,198.13,222874.0
Nov-2024,18558.0,199.29,218851.0
Dec-2024,19088.0,210.34,224722.0
Jan-2025,19367.0,209.38,227789.0
Feb-2025,20227.0,208.06,237883.0
Mar-2025,19484.0,201.8,229308.0
Apr-2025,19472.0,198.7,229506.0
May-2025,20293.0,218.67,239701.0
Jun-2025,20200.0,213.1,239285.0
Jul-2025,20851.0,202.82,247813.0
Aug-2025,20093.0,214.45,239699.0
Sep-2025,21308.0,217.9,255189.0
Oct-2025,21128.0,218.1,254044.0
Nov-2025,20933.0,213.55,252687.0
Dec-2025,21486.0,216.2,260312.0
Jan-2026,22067.0,216.48,268223.0
Feb-2026,21766.0,215.67,265283.0
Mar-2026,21382.0,209.97,261165.0
Apr-2026,21880.0,212.36,267620.0
May-2026,22309.0,221.28,273050.0
Jun-2026,22987.0,222.11,281315.0
Jul-2026,23290.0,217.29,284771.0
Aug-2026,22882.0,222.65,279322.0
Sep-2026,23640.0,217.9,287904.0
