Date,FII Gross Purchase (Rs. Cr),FII Gross Sales (Rs. Cr),DII Gross Purchase (Rs. Cr),DII Gross Sales (Rs. Cr),FII Net (Rs. Cr),DII Net (Rs. Cr)
12-May-2010,4554.63,4681.74,5383.53,4242.42,-127.11,1141.11
13-May-2010,3846.66,8364.58,3718.83,4873.08,-4517.92,-1154.25
14-May-2010,4550.71,3183.21,3746.01,3080.95,1367.5,665.06
17-May-2010,3046.83,3977.0,6688.16,4440.52,-930.17,2247.64
18-May-2010,1849.6,4113.88,5401.69,4345.38,-2264.28,1056.31
19-May-2010,11667.29,4796.11,4554.97,4696.12,6871.18,-141.15
20-May-2010,5221.87,7254.47,5655.64,3425.27,-2032.6,2230.37
21-May-2010,3819.62,3007.71,2132.91,3195.55,811.91,-1062.64
24-May-2010,5479.28,3481.13,2867.9,4396.98,1998.15,-1529.08
25-May-2010,2749.48,3417.57,3958.23,2935.9,-668.09,1022.33
26-May-2010,11494.57,5611.84,2090.66,3690.12,5882.73,-1599.46
27-May-2010,6218.84,9085.51,4737.52,2541.62,-2866.67,2195.9
28-May-2010,2248.21,3758.99,4135.08,2301.62,-1510.78,1833.46
31-May-2010,5172.16,7724.82,3308.08,3461.08,-2552.66,-153.0
01-Jun-2010,3682.02,1774.07,6203.95,3693.7,1907.95,2510.25
02-Jun-2010,5466.63,3036.43,5974.34,3558.89,2430.2,2415.45
03-Jun-2010,2363.36,6604.78,2925.82,1998.06,-4241.42,927.76
04-Jun-2010,3916.63,2916.65,3105.81,3849.35,999.98,-743.54
07-Jun-2010,4308.13,6533.44,5184.56,2852.63,-2225.31,2331.93
08-Jun-2010,6850.04,4090.03,3958.41,3346.09,2760.01,612.32
09-Jun-2010,8764.6,6458.6,2698.72,4699.28,2306.0,-2000.56
10-Jun-2010,3916.56,4970.36,3946.47,2140.14,-1053.8,1806.33
11-Jun-2010,4549.09,2765.24,4421.24,4512.88,1783.85,-91.64
14-Jun-2010,3291.65,5634.89,4796.56,2979.28,-2343.24,1817.28
15-Jun-2010,5978.55,3006.03,5171.13,1893.09,2972.52,3278.04
16-Jun-2010,5487.91,4464.69,5768.91,4440.67,1023.22,1328.24
17-Jun-2010,3998.23,2489.94,5393.08,3569.11,1508.29,1823.97
18-Jun-2010,7274.91,5443.4,4535.49,2590.32,1831.51,1945.17
21-Jun-2010,6658.56,8426.32,2122.4,1788.54,-1767.76,333.86
22-Jun-2010,4600.1,5998.5,2179.32,4893.74,-1398.4,-2714.42
23-Jun-2010,2767.05,4293.61,4109.71,1967.12,-1526.56,2142.59
24-Jun-2010,16915.7,6114.84,2725.76,2898.78,10800.86,-173.02
25-Jun-2010,2189.23,7259.51,4970.06,4352.74,-5070.28,617.32
28-Jun-2010,5561.95,2247.45,2710.41,2527.34,3314.5,183.07
29-Jun-2010,8087.24,2633.64,3110.54,3958.22,5453.6,-847.68
30-Jun-2010,7611.5,3627.39,2321.75,2332.38,3984.11,-10.63
01-Jul-2010,3262.28,4344.23,1637.37,4106.69,-1081.95,-2469.32
02-Jul-2010,6848.02,6602.52,3661.92,5367.86,245.5,-1705.94
05-Jul-2010,6658.79,3294.93,2518.37,4768.27,3363.86,-2249.9
06-Jul-2010,4123.99,5987.15,4232.86,3216.25,-1863.16,1016.61
07-Jul-2010,7075.28,4658.54,2859.87,2905.72,2416.74,-45.85
08-Jul-2010,5303.49,4153.29,3067.91,4425.46,1150.2,-1357.55
09-Jul-2010,7970.97,5336.26,4562.26,2467.13,2634.71,2095.13
12-Jul-2010,3440.2,7096.22,4747.92,2106.27,-3656.02,2641.65
13-Jul-2010,4518.04,3590.7,2090.49,4100.79,927.34,-2010.3
14-Jul-2010,3357.21,3487.42,3512.98,1668.78,-130.21,1844.2
15-Jul-2010,6678.6,9845.31,4826.05,3699.48,-3166.71,1126.57
16-Jul-2010,2281.54,2095.46,4438.62,3303.56,186.08,1135.06
19-Jul-2010,6109.96,5297.62,5317.0,5706.54,812.34,-389.54
20-Jul-2010,2851.67,3470.75,5787.88,1677.37,-619.08,4110.51
21-Jul-2010,3154.73,3322.06,1543.94,3655.26,-167.33,-2111.32
22-Jul-2010,3272.19,4092.76,2637.79,2485.39,-820.57,152.4
23-Jul-2010,8645.42,4408.06,3477.97,4314.68,4237.36,-836.71
26-Jul-2010,5183.8,1468.91,3154.11,2455.05,3714.89,699.06
27-Jul-2010,5606.9,2037.71,2094.22,5386.41,3569.19,-3292.19
28-Jul-2010,2107.6,1863.68,2878.92,3209.3,243.92,-330.38
29-Jul-2010,2376.33,6634.25,2125.59,2148.48,-4257.92,-22.89
30-Jul-2010,9842.03,2113.04,2754.59,3731.53,7728.99,-976.94
02-Aug-2010,7168.93,3479.78,3773.94,4221.51,3689.15,-447.57
03-Aug-2010,3678.4,13928.29,1793.32,2435.36,-10249.89,-642.04
04-Aug-2010,4272.13,5302.03,3273.36,4684.38,-1029.9,-1411.02
05-Aug-2010,5444.05,5699.47,9973.75,4958.24,-255.42,5015.51
06-Aug-2010,3217.02,3235.09,5516.01,3631.26,-18.07,1884.75
09-Aug-2010,10435.6,1278.52,2382.94,5408.64,9157.08,-3025.7
10-Aug-2010,4614.3,6763.41,4254.56,3408.17,-2149.11,846.39
11-Aug-2010,2142.19,4708.81,2240.81,3468.73,-2566.62,-1227.92
12-Aug-2010,3400.84,3887.8,3363.12,7598.35,-486.96,-4235.23
13-Aug-2010,2920.19,4661.41,2172.43,4042.3,-1741.22,-1869.87
16-Aug-2010,3196.08,2417.81,2245.66,3169.82,778.27,-924.16
17-Aug-2010,2883.05,2723.55,3033.34,2271.88,159.5,761.46
18-Aug-2010,5067.71,4387.37,4915.99,5724.14,680.34,-808.15
19-Aug-2010,3436.99,2572.89,5945.23,4082.97,864.1,1862.26
20-Aug-2010,6244.76,6445.96,3450.63,3670.09,-201.2,-219.46
23-Aug-2010,2090.03,3875.69,4080.76,6034.84,-1785.66,-1954.08
24-Aug-2010,2091.49,3415.12,2225.98,3528.84,-1323.63,-1302.86
25-Aug-2010,2333.41,3175.29,5225.86,3785.53,-841.88,1440.33
26-Aug-2010,5786.36,3288.12,2893.56,2368.68,2498.24,524.88
27-Aug-2010,4629.84,4214.6,3848.11,4385.31,415.24,-537.2
30-Aug-2010,4596.72,4666.41,2899.9,5629.16,-69.69,-2729.26
31-Aug-2010,3070.7,3334.71,2857.98,3290.37,-264.01,-432.39
01-Sep-2010,5324.08,3010.44,2279.58,2753.82,2313.64,-474.24
02-Sep-2010,5461.75,3875.13,6244.36,2685.07,1586.62,3559.29
03-Sep-2010,3782.6,4194.18,2706.23,3670.4,-411.58,-964.17
06-Sep-2010,7127.14,6870.77,7146.91,2866.67,256.37,4280.24
07-Sep-2010,6385.69,7344.3,2964.64,3774.72,-958.61,-810.08
08-Sep-2010,2112.73,2697.84,2535.36,3065.65,-585.11,-530.29
09-Sep-2010,6737.61,6599.06,5349.77,3226.34,138.55,2123.43
10-Sep-2010,5365.32,9597.99,4529.93,3988.79,-4232.67,541.14
13-Sep-2010,4960.07,5552.02,5991.59,3177.28,-591.95,2814.31
14-Sep-2010,3593.68,3794.68,2333.24,3889.02,-201.0,-1555.78
15-Sep-2010,6292.64,13679.61,4889.14,3778.54,-7386.97,1110.6
16-Sep-2010,5026.53,6690.47,5061.69,4088.22,-1663.94,973.47
17-Sep-2010,7931.5,3637.56,3526.52,3943.11,4293.94,-416.59
20-Sep-2010,8256.25,4036.08,4349.01,6669.53,4220.17,-2320.52
21-Sep-2010,4251.61,3197.33,5577.47,1672.0,1054.28,3905.47
22-Sep-2010,2029.86,5027.06,3046.46,5608.76,-2997.2,-2562.3
23-Sep-2010,4830.09,2632.87,3073.2,5162.82,2197.22,-2089.62
24-Sep-2010,3611.71,6092.73,3665.83,7402.58,-2481.02,-3736.75
27-Sep-2010,4705.94,4253.61,5405.68,2944.25,452.33,2461.43
28-Sep-2010,4967.63,4041.99,3915.71,3519.49,925.64,396.22
29-Sep-2010,5279.92,4142.9,4066.29,3766.8,1137.02,299.49
30-Sep-2010,3172.62,7415.13,5171.7,3241.86,-4242.51,1929.84
01-Oct-2010,5357.16,4041.94,6356.85,2328.28,1315.22,4028.57
04-Oct-2010,9905.73,4154.86,5276.76,5021.63,5750.87,255.13
05-Oct-2010,9597.97,4451.91,1908.4,1889.84,5146.06,18.56
06-Oct-2010,8022.6,3155.88,4633.9,6340.49,4866.72,-1706.59
07-Oct-2010,4809.49,3859.31,3766.34,7672.4,950.18,-3906.06
08-Oct-2010,6667.53,9423.46,3504.45,3921.09,-2755.93,-416.64
11-Oct-2010,7453.31,5644.6,4519.57,2175.14,1808.71,2344.43
12-Oct-2010,2872.59,3538.82,2260.88,4932.09,-666.23,-2671.21
13-Oct-2010,2196.25,3725.89,7244.07,2655.97,-1529.64,4588.1
14-Oct-2010,10873.68,10229.82,3023.61,3571.81,643.86,-548.2
15-Oct-2010,2810.77,3587.28,2700.22,2884.09,-776.51,-183.87
18-Oct-2010,3802.4,3714.48,3601.74,2596.68,87.92,1005.06
19-Oct-2010,3031.68,2677.61,3036.76,1937.96,354.07,1098.8
20-Oct-2010,8185.49,5545.3,3854.03,2424.51,2640.19,1429.52
21-Oct-2010,7114.26,5085.77,2498.53,2125.91,2028.49,372.62
22-Oct-2010,10063.72,8668.19,6194.16,2034.61,1395.53,4159.55
25-Oct-2010,3308.38,2908.96,2864.23,3868.31,399.42,-1004.08
26-Oct-2010,3721.48,2219.31,2011.25,2318.83,1502.17,-307.58
27-Oct-2010,2743.1,1923.02,2934.57,4165.1,820.08,-1230.53
28-Oct-2010,4009.99,8332.13,4843.38,4226.08,-4322.14,617.3
29-Oct-2010,5422.43,2451.69,3471.62,4364.01,2970.74,-892.39
01-Nov-2010,7957.13,6528.09,2046.92,6689.44,1429.04,-4642.52
02-Nov-2010,6255.8,5228.31,3840.93,2416.64,1027.49,1424.29
03-Nov-2010,4342.43,5868.29,2243.06,3547.0,-1525.86,-1303.94
04-Nov-2010,8111.66,4680.79,2341.13,2122.38,3430.87,218.75
05-Nov-2010,4175.3,5193.2,5551.21,3507.64,-1017.9,2043.57
08-Nov-2010,4911.71,3896.93,4021.09,3939.98,1014.78,81.11
09-Nov-2010,6356.93,2973.23,7879.89,2890.19,3383.7,4989.7
10-Nov-2010,4621.8,2334.54,4914.07,1876.55,2287.26,3037.52
11-Nov-2010,4915.08,7108.27,2703.55,3507.22,-2193.19,-803.67
12-Nov-2010,3462.96,2475.59,1562.28,4488.97,987.37,-2926.69
15-Nov-2010,2199.11,2850.22,4281.27,5606.55,-651.11,-1325.28
16-Nov-2010,3577.79,2390.84,5575.66,3755.25,1186.95,1820.41
17-Nov-2010,6511.96,4616.85,4000.44,3474.43,1895.11,526.01
18-Nov-2010,5617.82,6657.35,5166.55,3068.5,-1039.53,2098.05
19-Nov-2010,7497.28,3523.81,3356.62,1618.37,3973.47,1738.25
22-Nov-2010,4246.61,3551.37,13121.38,3701.23,695.24,9420.15
23-Nov-2010,8554.82,6093.98,3225.81,2971.73,2460.84,254.08
24-Nov-2010,3609.54,5575.31,5157.96,1540.65,-1965.77,3617.31
25-Nov-2010,2354.45,2056.81,4555.12,5831.0,297.64,-1275.88
26-Nov-2010,5171.46,4044.12,5087.43,3163.31,1127.34,1924.12
29-Nov-2010,5501.93,3122.97,3234.78,4916.87,2378.96,-1682.09
30-Nov-2010,4733.8,12110.24,2598.04,3855.37,-7376.44,-1257.33
01-Dec-2010,12684.29,4206.27,5221.89,2957.18,8478.02,2264.71
02-Dec-2010,8104.44,3958.91,3910.45,3437.82,4145.53,472.63
03-Dec-2010,4979.8,2369.51,2716.06,4872.11,2610.29,-2156.05
06-Dec-2010,5063.57,3020.92,5091.46,4205.86,2042.65,885.6
07-Dec-2010,5930.29,9921.1,3221.46,2942.89,-3990.81,278.57
08-Dec-2010,3965.87,6041.8,3021.61,3615.03,-2075.93,-593.42
09-Dec-2010,3075.56,2347.54,2513.47,7395.84,728.02,-4882.37
10-Dec-2010,3228.31,4424.14,3390.01,2413.9,-1195.83,976.11
13-Dec-2010,5590.99,9702.83,3807.73,2353.28,-4111.84,1454.45
14-Dec-2010,6846.16,4106.66,5189.86,2226.57,2739.5,2963.29
15-Dec-2010,4292.24,5049.87,3472.56,3004.69,-757.63,467.87
16-Dec-2010,5275.87,4937.35,2179.63,2956.18,338.52,-776.55
17-Dec-2010,3094.33,2654.8,2882.92,7662.73,439.53,-4779.81
20-Dec-2010,6198.32,4800.12,1404.8,2632.11,1398.2,-1227.31
21-Dec-2010,3642.48,2946.76,2112.73,2976.79,695.72,-864.06
22-Dec-2010,4746.92,5752.25,2869.02,2541.69,-1005.33,327.33
23-Dec-2010,2746.47,5881.42,3649.53,2271.33,-3134.95,1378.2
24-Dec-2010,6004.36,4727.33,2221.16,2201.65,1277.03,19.51
27-Dec-2010,6175.68,3745.12,3599.83,4741.61,2430.56,-1141.78
28-Dec-2010,3850.37,3835.33,4181.78,3327.66,15.04,854.12
29-Dec-2010,6967.62,4714.42,5353.31,7232.64,2253.2,-1879.33
30-Dec-2010,4330.27,3679.5,3278.35,3531.36,650.77,-253.01
31-Dec-2010,3096.73,3083.25,3976.79,1885.68,13.48,2091.11
03-Jan-2011,5911.58,6996.98,5602.24,6186.46,-1085.4,-584.22
04-Jan-2011,2017.05,1489.87,2379.63,3641.27,527.18,-1261.64
05-Jan-2011,4786.09,4417.97,2558.31,2209.96,368.12,348.35
06-Jan-2011,3656.17,2926.89,3675.89,1495.76,729.28,2180.13
07-Jan-2011,7491.99,4097.48,3892.7,5230.16,3394.51,-1337.46
10-Jan-2011,2479.74,4072.7,3657.02,3049.03,-1592.96,607.99
11-Jan-2011,1615.31,2113.68,3091.2,6239.96,-498.37,-3148.76
12-Jan-2011,2107.57,2210.79,2507.89,4434.03,-103.22,-1926.14
13-Jan-2011,4815.09,6875.78,9906.45,2864.4,-2060.69,7042.05
14-Jan-2011,3466.19,7533.26,3446.51,1689.63,-4067.07,1756.88
17-Jan-2011,1920.03,2968.24,4215.9,3043.43,-1048.21,1172.47
18-Jan-2011,5573.08,3177.88,8529.7,3263.82,2395.2,5265.88
19-Jan-2011,3528.71,5488.96,9329.68,4832.56,-1960.25,4497.12
20-Jan-2011,3856.43,1803.71,2891.02,4432.95,2052.72,-1541.93
21-Jan-2011,6827.54,2821.49,4099.89,5567.89,4006.05,-1468.0
24-Jan-2011,4047.05,5848.43,3641.64,3493.57,-1801.38,148.07
25-Jan-2011,4074.05,3562.92,4481.17,4651.29,511.13,-170.12
26-Jan-2011,4655.85,5959.56,5238.29,4018.86,-1303.71,1219.43
27-Jan-2011,7580.87,8190.72,3192.65,2558.74,-609.85,633.91
28-Jan-2011,4921.22,3259.16,2695.3,1198.0,1662.06,1497.3
31-Jan-2011,2196.88,2336.13,3894.74,3125.56,-139.25,769.18
01-Feb-2011,3059.2,5475.06,2134.36,6405.13,-2415.86,-4270.77
02-Feb-2011,8492.39,2966.36,2466.15,5723.22,5526.03,-3257.07
03-Feb-2011,3707.69,6833.07,2942.16,3964.05,-3125.38,-1021.89
04-Feb-2011,1445.62,12316.78,3813.05,5228.2,-10871.16,-1415.15
07-Feb-2011,3189.51,3816.97,2817.48,3502.31,-627.46,-684.83
08-Feb-2011,7325.88,1452.93,3340.57,4317.12,5872.95,-976.55
09-Feb-2011,3338.41,5636.47,5275.76,5978.2,-2298.06,-702.44
10-Feb-2011,7670.29,15162.66,2753.93,1679.23,-7492.37,1074.7
11-Feb-2011,10620.55,6690.79,3432.45,3048.77,3929.76,383.68
14-Feb-2011,4755.57,6807.22,4272.87,3222.94,-2051.65,1049.93
15-Feb-2011,2888.75,3287.28,2790.83,5917.3,-398.53,-3126.47
16-Feb-2011,9544.73,5578.61,3356.19,4832.79,3966.12,-1476.6
17-Feb-2011,3196.36,4981.26,4547.58,3465.29,-1784.9,1082.29
18-Feb-2011,3010.39,3039.29,4450.07,2358.7,-28.9,2091.37
21-Feb-2011,2723.29,5599.18,3162.02,3314.24,-2875.89,-152.22
22-Feb-2011,3330.11,2631.44,2982.5,5118.63,698.67,-2136.13
23-Feb-2011,4978.63,6115.45,7886.94,2415.32,-1136.82,5471.62
24-Feb-2011,6698.48,4205.52,6486.19,2959.54,2492.96,3526.65
25-Feb-2011,6620.56,4020.74,3078.88,3739.97,2599.82,-661.09
28-Feb-2011,5393.91,5114.68,3115.64,3145.14,279.23,-29.5
01-Mar-2011,7931.37,8946.51,4250.38,8552.49,-1015.14,-4302.11
02-Mar-2011,6131.94,6723.33,3195.68,2267.47,-591.39,928.21
03-Mar-2011,5898.33,10021.74,3489.36,4523.48,-4123.41,-1034.12
04-Mar-2011,3333.27,12052.01,3119.44,4542.18,-8718.74,-1422.74
07-Mar-2011,3615.83,5307.76,3868.48,2234.98,-1691.93,1633.5
08-Mar-2011,4524.46,12432.86,3719.16,10066.67,-7908.4,-6347.51
09-Mar-2011,3593.74,1847.27,4116.59,3560.45,1746.47,556.14
10-Mar-2011,5974.03,4740.13,5383.52,1555.42,1233.9,3828.1
11-Mar-2011,10713.99,4637.96,3570.72,2891.85,6076.03,678.87
14-Mar-2011,4319.09,3199.67,4215.94,6935.97,1119.42,-2720.03
15-Mar-2011,5258.63,2611.63,7611.67,5955.48,2647.0,1656.19
16-Mar-2011,8750.57,6864.14,4749.45,4825.94,1886.43,-76.49
17-Mar-2011,8705.62,4517.47,2404.02,2613.14,4188.15,-209.12
18-Mar-2011,6927.46,4959.87,10299.46,5438.5,1967.59,4860.96
21-Mar-2011,8560.96,6614.36,2589.85,6145.12,1946.6,-3555.27
22-Mar-2011,2301.9,1205.81,3722.58,5065.26,1096.09,-1342.68
23-Mar-2011,9846.81,4143.85,4919.34,3311.88,5702.96,1607.46
24-Mar-2011,2708.39,1854.21,3563.27,2825.87,854.18,737.4
25-Mar-2011,9502.84,6761.21,3678.34,4685.31,2741.63,-1006.97
28-Mar-2011,5490.82,2875.31,5358.92,2897.91,2615.51,2461.01
29-Mar-2011,3999.52,3646.19,3630.76,2636.89,353.33,993.87
30-Mar-2011,7596.62,2660.22,1751.53,4554.83,4936.4,-2803.3
31-Mar-2011,7188.07,3867.62,5187.48,3222.4,3320.45,1965.08
01-Apr-2011,8629.85,3369.74,3524.43,3482.87,5260.11,41.56
04-Apr-2011,5033.11,4841.65,4457.14,4339.49,191.46,117.65
05-Apr-2011,4264.31,2469.24,5523.41,1651.25,1795.07,3872.16
06-Apr-2011,3883.73,3991.81,2376.86,4928.62,-108.08,-2551.76
07-Apr-2011,2585.32,4468.59,3229.16,2593.08,-1883.27,636.08
08-Apr-2011,2881.04,14049.54,3348.48,2976.91,-11168.5,371.57
11-Apr-2011,7839.05,4605.35,2654.16,3203.56,3233.7,-549.4
12-Apr-2011,3067.76,8026.25,3159.75,1985.3,-4958.49,1174.45
13-Apr-2011,6202.88,2354.9,4459.21,4743.6,3847.98,-284.39
14-Apr-2011,4060.32,4440.18,2379.2,3027.77,-379.86,-648.57
15-Apr-2011,6647.23,4041.77,5693.66,3483.85,2605.46,2209.81
18-Apr-2011,6798.21,6321.43,7756.63,4109.67,476.78,3646.96
19-Apr-2011,6328.81,3414.4,6298.9,2642.03,2914.41,3656.87
20-Apr-2011,2999.02,4407.39,3956.53,4165.3,-1408.37,-208.77
21-Apr-2011,5037.43,3534.38,3654.87,2856.27,1503.05,798.6
22-Apr-2011,6151.98,2234.35,4008.26,3069.26,3917.63,939.0
25-Apr-2011,4101.41,6330.1,3293.3,5646.26,-2228.69,-2352.96
26-Apr-2011,2705.19,3590.25,4462.43,3020.4,-885.06,1442.03
27-Apr-2011,9131.66,3489.59,4904.03,2286.61,5642.07,2617.42
28-Apr-2011,3786.92,9917.48,6114.58,8701.47,-6130.56,-2586.89
29-Apr-2011,5075.35,1705.8,3147.71,5136.97,3369.55,-1989.26
02-May-2011,2371.61,5093.12,5029.63,2813.62,-2721.51,2216.01
03-May-2011,7487.74,2848.76,5325.75,1875.46,4638.98,3450.29
04-May-2011,7876.47,7063.95,5774.84,6071.14,812.52,-296.3
05-May-2011,4042.04,4350.33,5337.93,3979.88,-308.29,1358.05
06-May-2011,3786.51,3085.05,4366.82,1998.18,701.46,2368.64
09-May-2011,2838.82,3051.85,4745.26,2966.49,-213.03,1778.77
10-May-2011,4983.02,3089.49,5125.82,4642.01,1893.53,483.81
