Date,Stocks Above 50 DMA (%),Stocks Above 200 DMA (%),Universe Size
29-Jun-2010,75.08,67.2,500
30-Jun-2010,75.88,70.89,500
01-Jul-2010,77.52,71.67,500
02-Jul-2010,75.06,69.03,500
05-Jul-2010,77.62,59.99,500
06-Jul-2010,78.58,71.19,500
07-Jul-2010,79.94,75.41,500
08-Jul-2010,80.41,66.2,500
09-Jul-2010,79.59,66.17,500
12-Jul-2010,81.26,76.93,500
13-Jul-2010,80.98,68.08,500
14-Jul-2010,81.11,75.6,500
15-Jul-2010,79.39,71.77,500
16-Jul-2010,78.53,81.04,500
19-Jul-2010,77.46,72.25,500
20-Jul-2010,76.06,64.63,500
21-Jul-2010,77.06,72.88,500
22-Jul-2010,77.74,69.03,500
23-Jul-2010,77.22,69.42,500
26-Jul-2010,77.6,68.33,500
27-Jul-2010,77.8,65.46,500
28-Jul-2010,78.08,79.72,500
29-Jul-2010,78.48,79.7,500
30-Jul-2010,76.73,67.75,500
02-Aug-2010,76.67,69.15,500
03-Aug-2010,76.52,73.21,500
04-Aug-2010,74.23,69.88,500
05-Aug-2010,74.74,67.96,500
06-Aug-2010,74.46,75.46,500
09-Aug-2010,72.55,63.73,500
10-Aug-2010,72.03,61.59,500
11-Aug-2010,70.28,65.72,500
12-Aug-2010,70.33,65.5,500
13-Aug-2010,69.92,59.2,500
16-Aug-2010,70.63,60.1,500
17-Aug-2010,69.49,65.95,500
18-Aug-2010,69.18,63.89,500
19-Aug-2010,69.03,65.87,500
20-Aug-2010,70.16,58.94,500
23-Aug-2010,69.26,62.26,500
24-Aug-2010,68.57,59.32,500
25-Aug-2010,68.51,59.83,500
26-Aug-2010,69.16,56.99,500
27-Aug-2010,71.19,65.69,500
30-Aug-2010,73.74,65.77,500
31-Aug-2010,74.59,64.74,500
01-Sep-2010,72.78,66.71,500
02-Sep-2010,71.51,68.24,500
03-Sep-2010,71.3,64.72,500
06-Sep-2010,70.86,65.39,500
07-Sep-2010,67.6,57.59,500
08-Sep-2010,70.99,62.83,500
09-Sep-2010,73.3,71.0,500
10-Sep-2010,72.89,70.69,500
13-Sep-2010,74.83,61.51,500
14-Sep-2010,73.96,64.54,500
15-Sep-2010,74.32,72.61,500
16-Sep-2010,75.21,72.44,500
17-Sep-2010,77.47,67.54,500
20-Sep-2010,77.43,63.36,500
21-Sep-2010,76.12,65.0,500
22-Sep-2010,75.04,68.65,500
23-Sep-2010,76.62,69.3,500
24-Sep-2010,76.78,64.09,500
27-Sep-2010,76.8,64.17,500
28-Sep-2010,77.56,71.52,500
29-Sep-2010,78.44,63.69,500
30-Sep-2010,78.75,66.15,500
01-Oct-2010,78.45,70.1,500
04-Oct-2010,80.01,72.06,500
05-Oct-2010,79.63,69.55,500
06-Oct-2010,80.55,76.07,500
07-Oct-2010,79.47,73.72,500
08-Oct-2010,79.43,77.56,500
11-Oct-2010,78.94,67.52,500
12-Oct-2010,78.66,69.83,500
13-Oct-2010,76.99,76.72,500
14-Oct-2010,76.55,66.16,500
15-Oct-2010,78.32,81.64,500
18-Oct-2010,77.18,69.82,500
19-Oct-2010,79.38,72.83,500
20-Oct-2010,80.91,76.82,500
21-Oct-2010,82.1,78.49,500
22-Oct-2010,83.71,79.64,500
25-Oct-2010,82.36,74.85,500
26-Oct-2010,82.28,80.3,500
27-Oct-2010,82.06,73.04,500
28-Oct-2010,83.01,77.88,500
29-Oct-2010,83.65,70.78,500
01-Nov-2010,84.2,80.88,500
02-Nov-2010,82.77,76.77,500
03-Nov-2010,81.64,74.5,500
04-Nov-2010,86.53,77.18,500
05-Nov-2010,86.3,75.26,500
08-Nov-2010,85.82,79.36,500
09-Nov-2010,85.36,83.53,500
10-Nov-2010,85.06,82.96,500
11-Nov-2010,86.57,82.98,500
12-Nov-2010,86.38,80.71,500
15-Nov-2010,85.22,81.06,500
16-Nov-2010,84.21,78.19,500
17-Nov-2010,83.45,81.91,500
18-Nov-2010,83.16,77.25,500
19-Nov-2010,82.34,71.12,500
22-Nov-2010,82.82,75.05,500
23-Nov-2010,83.32,86.83,500
24-Nov-2010,85.35,79.45,500
25-Nov-2010,85.35,76.85,500
26-Nov-2010,85.59,86.7,500
29-Nov-2010,84.8,70.32,500
30-Nov-2010,83.63,77.94,500
01-Dec-2010,83.55,74.8,500
02-Dec-2010,84.66,78.36,500
03-Dec-2010,85.32,75.55,500
06-Dec-2010,84.61,79.16,500
07-Dec-2010,86.86,81.73,500
08-Dec-2010,86.4,73.52,500
09-Dec-2010,88.39,84.99,500
10-Dec-2010,89.31,81.82,500
13-Dec-2010,88.18,83.77,500
14-Dec-2010,88.9,74.62,500
15-Dec-2010,89.17,75.03,500
16-Dec-2010,89.9,82.46,500
17-Dec-2010,91.19,83.45,500
20-Dec-2010,90.47,78.66,500
21-Dec-2010,91.51,83.85,500
22-Dec-2010,90.57,85.09,500
23-Dec-2010,90.23,83.05,500
24-Dec-2010,91.25,82.23,500
27-Dec-2010,90.72,86.7,500
28-Dec-2010,91.6,83.13,500
29-Dec-2010,91.74,87.19,500
30-Dec-2010,92.21,86.7,500
31-Dec-2010,91.63,83.75,500
03-Jan-2011,93.86,84.9,500
04-Jan-2011,93.33,86.84,500
05-Jan-2011,96.0,84.03,500
06-Jan-2011,96.0,84.3,500
07-Jan-2011,96.0,90.88,500
10-Jan-2011,96.0,85.98,500
11-Jan-2011,96.0,89.56,500
12-Jan-2011,96.0,85.25,500
13-Jan-2011,96.0,96.81,500
14-Jan-2011,96.0,89.32,500
17-Jan-2011,96.0,83.04,500
18-Jan-2011,96.0,92.27,500
19-Jan-2011,96.0,92.45,500
20-Jan-2011,96.0,89.45,500
21-Jan-2011,96.0,94.53,500
24-Jan-2011,96.0,86.42,500
25-Jan-2011,96.0,90.34,500
26-Jan-2011,96.0,84.98,500
27-Jan-2011,96.0,95.94,500
28-Jan-2011,96.0,87.11,500
31-Jan-2011,96.0,93.02,500
01-Feb-2011,96.0,91.04,500
02-Feb-2011,96.0,84.92,500
03-Feb-2011,96.0,96.43,500
04-Feb-2011,96.0,92.55,500
07-Feb-2011,96.0,84.35,500
08-Feb-2011,96.0,88.13,500
09-Feb-2011,96.0,93.07,500
10-Feb-2011,96.0,92.48,500
11-Feb-2011,96.0,88.08,500
14-Feb-2011,96.0,90.88,500
15-Feb-2011,96.0,90.68,500
16-Feb-2011,96.0,88.89,500
17-Feb-2011,96.0,94.06,500
18-Feb-2011,96.0,84.36,500
21-Feb-2011,96.0,76.73,500
22-Feb-2011,96.0,89.14,500
23-Feb-2011,94.18,93.06,500
24-Feb-2011,93.12,87.77,500
25-Feb-2011,91.86,88.86,500
28-Feb-2011,92.52,80.77,500
01-Mar-2011,94.98,86.33,500
02-Mar-2011,95.16,85.32,500
03-Mar-2011,95.68,86.5,500
04-Mar-2011,95.7,95.86,500
07-Mar-2011,96.0,92.46,500
08-Mar-2011,96.0,95.03,500
09-Mar-2011,96.0,89.26,500
10-Mar-2011,94.87,86.7,500
11-Mar-2011,94.33,88.95,500
14-Mar-2011,93.23,85.69,500
15-Mar-2011,95.9,83.76,500
16-Mar-2011,94.09,83.51,500
17-Mar-2011,93.24,79.55,500
18-Mar-2011,94.81,84.54,500
21-Mar-2011,93.22,90.89,500
22-Mar-2011,94.15,90.33,500
23-Mar-2011,92.03,85.9,500
24-Mar-2011,89.87,79.11,500
25-Mar-2011,89.88,81.35,500
28-Mar-2011,89.84,81.55,500
29-Mar-2011,88.98,86.22,500
30-Mar-2011,89.51,82.46,500
31-Mar-2011,88.86,85.93,500
01-Apr-2011,88.02,83.95,500
04-Apr-2011,87.2,80.03,500
05-Apr-2011,87.95,75.72,500
06-Apr-2011,86.52,82.95,500
07-Apr-2011,85.39,72.57,500
08-Apr-2011,85.37,80.08,500
11-Apr-2011,86.11,75.76,500
12-Apr-2011,86.35,84.52,500
13-Apr-2011,87.25,72.64,500
14-Apr-2011,85.34,75.94,500
15-Apr-2011,85.83,80.17,500
18-Apr-2011,85.95,78.58,500
19-Apr-2011,86.33,78.08,500
20-Apr-2011,86.28,76.44,500
21-Apr-2011,86.92,77.97,500
22-Apr-2011,87.13,77.58,500
25-Apr-2011,86.81,84.18,500
26-Apr-2011,84.24,72.12,500
27-Apr-2011,85.12,77.3,500
28-Apr-2011,86.73,83.09,500
29-Apr-2011,85.24,77.27,500
02-May-2011,85.58,75.06,500
03-May-2011,86.45,80.25,500
04-May-2011,86.54,82.71,500
05-May-2011,84.35,74.9,500
06-May-2011,86.08,68.8,500
09-May-2011,86.86,77.92,500
10-May-2011,86.09,72.27,500
11-May-2011,86.49,85.92,500
12-May-2011,85.75,76.36,500
13-May-2011,85.36,71.82,500
16-May-2011,84.76,78.9,500
17-May-2011,84.62,75.45,500
18-May-2011,84.79,82.29,500
19-May-2011,83.98,73.92,500
20-May-2011,83.23,70.23,500
23-May-2011,83.07,76.62,500
24-May-2011,81.29,67.96,500
25-May-2011,81.4,71.59,500
26-May-2011,84.1,80.0,500
27-May-2011,82.85,74.32,500
30-May-2011,81.49,69.61,500
31-May-2011,85.21,75.95,500
01-Jun-2011,84.63,75.26,500
02-Jun-2011,84.71,75.14,500
03-Jun-2011,84.83,81.9,500
06-Jun-2011,87.31,85.56,500
07-Jun-2011,88.56,87.55,500
08-Jun-2011,88.38,84.01,500
09-Jun-2011,86.39,79.82,500
10-Jun-2011,89.67,87.41,500
13-Jun-2011,89.53,79.16,500
14-Jun-2011,89.09,82.17,500
15-Jun-2011,87.76,80.88,500
16-Jun-2011,88.4,85.97,500
17-Jun-2011,89.73,81.63,500
20-Jun-2011,90.31,85.77,500
21-Jun-2011,88.67,75.93,500
22-Jun-2011,87.52,79.69,500
23-Jun-2011,84.77,82.14,500
24-Jun-2011,84.54,77.88,500
27-Jun-2011,85.65,75.21,500
28-Jun-2011,83.86,71.43,500
29-Jun-2011,86.65,81.79,500
30-Jun-2011,88.33,80.19,500
01-Jul-2011,87.47,80.98,500
04-Jul-2011,89.06,82.18,500
05-Jul-2011,87.31,79.3,500
06-Jul-2011,88.06,82.84,500
07-Jul-2011,89.51,82.66,500
08-Jul-2011,90.01,90.09,500
11-Jul-2011,90.12,82.6,500
12-Jul-2011,90.86,81.71,500
13-Jul-2011,89.59,76.43,500
14-Jul-2011,90.61,85.29,500
15-Jul-2011,90.04,84.19,500
18-Jul-2011,91.72,82.15,500
19-Jul-2011,91.78,80.36,500
20-Jul-2011,92.34,86.87,500
21-Jul-2011,92.35,88.73,500
22-Jul-2011,92.46,83.03,500
25-Jul-2011,93.2,88.2,500
26-Jul-2011,95.99,82.99,500
27-Jul-2011,96.0,91.84,500
28-Jul-2011,96.0,85.01,500
29-Jul-2011,92.96,79.7,500
01-Aug-2011,93.87,88.35,500
02-Aug-2011,93.1,83.6,500
03-Aug-2011,93.25,79.44,500
04-Aug-2011,91.7,90.62,500
05-Aug-2011,92.4,90.5,500
08-Aug-2011,90.91,79.37,500
09-Aug-2011,90.98,85.12,500
10-Aug-2011,93.54,88.65,500
11-Aug-2011,93.03,81.27,500
12-Aug-2011,93.08,89.04,500
15-Aug-2011,93.62,86.78,500
16-Aug-2011,95.43,86.65,500
17-Aug-2011,96.0,88.86,500
18-Aug-2011,95.24,83.78,500
19-Aug-2011,94.9,89.22,500
22-Aug-2011,95.98,91.32,500
23-Aug-2011,96.0,92.18,500
24-Aug-2011,96.0,96.36,500
25-Aug-2011,94.95,93.75,500
26-Aug-2011,95.56,88.97,500
29-Aug-2011,96.0,87.07,500
30-Aug-2011,96.0,93.42,500
31-Aug-2011,96.0,89.66,500
01-Sep-2011,96.0,89.6,500
02-Sep-2011,96.0,88.13,500
05-Sep-2011,96.0,91.91,500
06-Sep-2011,96.0,93.06,500
07-Sep-2011,96.0,95.98,500
08-Sep-2011,96.0,88.6,500
09-Sep-2011,96.0,89.16,500
12-Sep-2011,96.0,79.11,500
13-Sep-2011,96.0,90.74,500
14-Sep-2011,96.0,93.81,500
15-Sep-2011,96.0,88.01,500
16-Sep-2011,96.0,93.17,500
19-Sep-2011,96.0,90.07,500
20-Sep-2011,96.0,88.52,500
21-Sep-2011,96.0,93.8,500
22-Sep-2011,96.0,85.59,500
23-Sep-2011,96.0,84.1,500
26-Sep-2011,96.0,90.32,500
27-Sep-2011,96.0,86.24,500
28-Sep-2011,96.0,85.22,500
29-Sep-2011,96.0,84.61,500
30-Sep-2011,96.0,86.83,500
03-Oct-2011,96.0,86.49,500
04-Oct-2011,96.0,92.76,500
05-Oct-2011,96.0,95.08,500
06-Oct-2011,96.0,88.21,500
07-Oct-2011,96.0,91.91,500
10-Oct-2011,96.0,95.28,500
11-Oct-2011,96.0,87.32,500
12-Oct-2011,96.0,93.32,500
13-Oct-2011,96.0,89.54,500
14-Oct-2011,96.0,96.88,500
17-Oct-2011,96.0,83.33,500
18-Oct-2011,96.0,88.34,500
19-Oct-2011,96.0,86.37,500
20-Oct-2011,96.0,90.77,500
21-Oct-2011,96.0,95.48,500
24-Oct-2011,96.0,90.96,500
25-Oct-2011,96.0,86.3,500
26-Oct-2011,96.0,89.29,500
27-Oct-2011,96.0,91.96,500
28-Oct-2011,96.0,92.24,500
31-Oct-2011,96.0,86.63,500
01-Nov-2011,96.0,90.34,500
02-Nov-2011,96.0,93.48,500
03-Nov-2011,96.0,85.51,500
04-Nov-2011,96.0,85.99,500
07-Nov-2011,96.0,90.64,500
08-Nov-2011,96.0,92.28,500
09-Nov-2011,96.0,95.94,500
10-Nov-2011,96.0,86.4,500
11-Nov-2011,96.0,84.24,500
14-Nov-2011,96.0,89.78,500
15-Nov-2011,96.0,88.61,500
16-Nov-2011,96.0,93.45,500
17-Nov-2011,96.0,87.43,500
18-Nov-2011,96.0,88.44,500
21-Nov-2011,96.0,92.05,500
22-Nov-2011,96.0,86.29,500
23-Nov-2011,96.0,92.43,500
24-Nov-2011,96.0,93.41,500
25-Nov-2011,96.0,81.4,500
28-Nov-2011,96.0,92.75,500
29-Nov-2011,96.0,83.5,500
30-Nov-2011,96.0,92.32,500
01-Dec-2011,96.0,82.14,500
02-Dec-2011,96.0,91.25,500
05-Dec-2011,96.0,94.58,500
06-Dec-2011,96.0,90.01,500
07-Dec-2011,96.0,87.84,500
08-Dec-2011,96.0,89.09,500
09-Dec-2011,96.0,95.58,500
12-Dec-2011,96.0,90.78,500
13-Dec-2011,96.0,81.91,500
14-Dec-2011,96.0,86.25,500
15-Dec-2011,96.0,96.75,500
16-Dec-2011,96.0,81.86,500
19-Dec-2011,96.0,86.21,500
20-Dec-2011,96.0,93.56,500
21-Dec-2011,96.0,89.28,500
22-Dec-2011,96.0,87.63,500
23-Dec-2011,96.0,93.29,500
26-Dec-2011,96.0,89.24,500
27-Dec-2011,96.0,88.27,500
28-Dec-2011,96.0,87.46,500
29-Dec-2011,96.0,89.97,500
30-Dec-2011,96.0,87.29,500
02-Jan-2012,96.0,88.16,500
03-Jan-2012,96.0,85.12,500
04-Jan-2012,96.0,91.4,500
05-Jan-2012,96.0,89.65,500
06-Jan-2012,96.0,78.12,500
09-Jan-2012,96.0,84.74,500
10-Jan-2012,96.0,90.77,500
11-Jan-2012,96.0,92.3,500
12-Jan-2012,96.0,91.06,500
13-Jan-2012,96.0,91.03,500
16-Jan-2012,96.0,86.95,500
17-Jan-2012,96.0,96.06,500
18-Jan-2012,96.0,87.79,500
19-Jan-2012,96.0,84.95,500
20-Jan-2012,96.0,89.18,500
23-Jan-2012,96.0,91.5,500
24-Jan-2012,96.0,93.03,500
25-Jan-2012,96.0,82.11,500
26-Jan-2012,96.0,96.51,500
27-Jan-2012,96.0,88.05,500
30-Jan-2012,96.0,95.85,500
31-Jan-2012,96.0,94.84,500
01-Feb-2012,96.0,84.34,500
02-Feb-2012,96.0,91.0,500
03-Feb-2012,96.0,97.41,500
06-Feb-2012,96.0,86.33,500
07-Feb-2012,96.0,89.16,500
08-Feb-2012,96.0,82.77,500
09-Feb-2012,96.0,93.97,500
10-Feb-2012,96.0,92.29,500
13-Feb-2012,96.0,89.87,500
14-Feb-2012,96.0,84.92,500
15-Feb-2012,96.0,90.33,500
16-Feb-2012,96.0,96.35,500
17-Feb-2012,96.0,83.96,500
20-Feb-2012,96.0,90.98,500
21-Feb-2012,96.0,90.6,500
22-Feb-2012,96.0,87.79,500
23-Feb-2012,96.0,89.48,500
24-Feb-2012,96.0,88.58,500
27-Feb-2012,96.0,93.44,500
28-Feb-2012,96.0,92.24,500
29-Feb-2012,96.0,87.17,500
01-Mar-2012,96.0,81.69,500
02-Mar-2012,96.0,84.57,500
05-Mar-2012,96.0,82.68,500
06-Mar-2012,96.0,85.63,500
07-Mar-2012,96.0,86.33,500
08-Mar-2012,96.0,84.51,500
09-Mar-2012,96.0,91.29,500
12-Mar-2012,96.0,86.15,500
13-Mar-2012,96.0,91.5,500
14-Mar-2012,96.0,91.05,500
15-Mar-2012,96.0,94.52,500
16-Mar-2012,96.0,89.91,500
19-Mar-2012,96.0,91.19,500
20-Mar-2012,96.0,92.97,500
21-Mar-2012,96.0,82.79,500
22-Mar-2012,96.0,87.15,500
23-Mar-2012,96.0,85.71,500
26-Mar-2012,96.0,78.52,500
27-Mar-2012,96.0,90.93,500
28-Mar-2012,96.0,85.49,500
29-Mar-2012,96.0,88.31,500
30-Mar-2012,96.0,89.38,500
02-Apr-2012,96.0,90.81,500
03-Apr-2012,96.0,83.86,500
04-Apr-2012,96.0,91.53,500
05-Apr-2012,96.0,89.69,500
06-Apr-2012,96.0,92.65,500
09-Apr-2012,96.0,84.84,500
10-Apr-2012,96.0,83.72,500
11-Apr-2012,96.0,88.29,500
12-Apr-2012,96.0,96.09,500
13-Apr-2012,96.0,84.36,500
16-Apr-2012,96.0,92.45,500
17-Apr-2012,96.0,84.79,500
18-Apr-2012,96.0,92.61,500
19-Apr-2012,96.0,90.03,500
20-Apr-2012,96.0,85.28,500
23-Apr-2012,96.0,93.62,500
24-Apr-2012,96.0,82.58,500
25-Apr-2012,96.0,95.76,500
26-Apr-2012,96.0,91.13,500
27-Apr-2012,96.0,88.95,500
30-Apr-2012,96.0,85.93,500
01-May-2012,96.0,84.96,500
02-May-2012,96.0,82.9,500
03-May-2012,96.0,91.02,500
04-May-2012,96.0,85.6,500
07-May-2012,96.0,84.46,500
08-May-2012,96.0,85.53,500
09-May-2012,96.0,82.66,500
10-May-2012,96.0,93.24,500
11-May-2012,96.0,87.86,500
14-May-2012,96.0,89.55,500
15-May-2012,96.0,88.98,500
16-May-2012,96.0,90.18,500
17-May-2012,96.0,91.17,500
18-May-2012,96.0,80.04,500
21-May-2012,96.0,84.56,500
22-May-2012,96.0,86.59,500
23-May-2012,96.0,91.5,500
24-May-2012,96.0,89.88,500
25-May-2012,96.0,91.6,500
28-May-2012,96.0,93.29,500
29-May-2012,96.0,84.12,500
30-May-2012,96.0,87.97,500
31-May-2012,96.0,89.79,500
01-Jun-2012,96.0,89.96,500
04-Jun-2012,96.0,84.77,500
05-Jun-2012,96.0,86.62,500
06-Jun-2012,96.0,79.43,500
07-Jun-2012,96.0,86.18,500
08-Jun-2012,96.0,89.29,500
11-Jun-2012,96.0,85.81,500
12-Jun-2012,96.0,86.78,500
13-Jun-2012,96.0,90.82,500
14-Jun-2012,96.0,91.14,500
15-Jun-2012,96.0,88.64,500
18-Jun-2012,96.0,91.35,500
19-Jun-2012,96.0,84.52,500
20-Jun-2012,96.0,87.89,500
21-Jun-2012,96.0,83.8,500
22-Jun-2012,96.0,83.99,500
25-Jun-2012,96.0,85.99,500
26-Jun-2012,96.0,91.43,500
27-Jun-2012,96.0,86.7,500
28-Jun-2012,96.0,85.8,500
29-Jun-2012,96.0,88.85,500
02-Jul-2012,96.0,90.26,500
03-Jul-2012,96.0,85.83,500
04-Jul-2012,96.0,88.39,500
05-Jul-2012,96.0,87.69,500
06-Jul-2012,96.0,91.86,500
09-Jul-2012,96.0,92.08,500
10-Jul-2012,96.0,91.56,500
11-Jul-2012,96.0,87.25,500
12-Jul-2012,96.0,90.97,500
13-Jul-2012,96.0,90.64,500
16-Jul-2012,96.0,87.09,500
17-Jul-2012,96.0,87.5,500
18-Jul-2012,96.0,94.18,500
19-Jul-2012,96.0,88.84,500
20-Jul-2012,96.0,88.88,500
23-Jul-2012,96.0,94.07,500
24-Jul-2012,96.0,93.47,500
25-Jul-2012,96.0,85.17,500
26-Jul-2012,96.0,86.5,500
27-Jul-2012,96.0,94.28,500
30-Jul-2012,96.0,87.2,500
31-Jul-2012,96.0,98.0,500
01-Aug-2012,96.0,84.7,500
02-Aug-2012,96.0,97.03,500
03-Aug-2012,96.0,85.35,500
06-Aug-2012,96.0,82.7,500
07-Aug-2012,96.0,86.09,500
08-Aug-2012,96.0,87.36,500
09-Aug-2012,96.0,88.08,500
10-Aug-2012,96.0,86.24,500
13-Aug-2012,96.0,96.67,500
14-Aug-2012,96.0,96.03,500
15-Aug-2012,96.0,85.51,500
16-Aug-2012,96.0,86.09,500
17-Aug-2012,96.0,90.04,500
20-Aug-2012,96.0,85.63,500
21-Aug-2012,95.72,89.85,500
22-Aug-2012,96.0,94.68,500
23-Aug-2012,95.31,87.51,500
24-Aug-2012,95.43,88.8,500
27-Aug-2012,95.1,85.92,500
28-Aug-2012,93.42,92.12,500
29-Aug-2012,94.24,94.52,500
30-Aug-2012,95.27,92.35,500
31-Aug-2012,93.83,94.32,500
03-Sep-2012,93.09,82.01,500
04-Sep-2012,92.9,84.7,500
05-Sep-2012,90.46,78.89,500
06-Sep-2012,91.89,84.73,500
07-Sep-2012,93.26,92.04,500
10-Sep-2012,94.56,87.75,500
11-Sep-2012,95.02,92.88,500
12-Sep-2012,96.0,82.68,500
13-Sep-2012,95.65,89.64,500
14-Sep-2012,93.69,84.49,500
17-Sep-2012,94.89,92.44,500
18-Sep-2012,96.0,98.0,500
19-Sep-2012,96.0,88.69,500
20-Sep-2012,96.0,90.24,500
21-Sep-2012,95.93,96.04,500
24-Sep-2012,92.85,82.18,500
25-Sep-2012,91.56,86.81,500
26-Sep-2012,94.76,85.49,500
27-Sep-2012,95.48,92.09,500
28-Sep-2012,96.0,92.32,500
01-Oct-2012,96.0,86.48,500
02-Oct-2012,96.0,89.82,500
03-Oct-2012,96.0,97.61,500
04-Oct-2012,96.0,87.93,500
05-Oct-2012,96.0,87.89,500
08-Oct-2012,96.0,90.71,500
09-Oct-2012,96.0,93.76,500
10-Oct-2012,96.0,90.51,500
11-Oct-2012,96.0,88.65,500
12-Oct-2012,94.89,88.54,500
15-Oct-2012,94.33,87.41,500
16-Oct-2012,92.31,84.21,500
17-Oct-2012,93.88,82.74,500
18-Oct-2012,92.41,87.41,500
19-Oct-2012,92.46,87.34,500
22-Oct-2012,92.31,81.53,500
23-Oct-2012,91.5,89.8,500
24-Oct-2012,90.51,78.71,500
25-Oct-2012,89.31,80.81,500
26-Oct-2012,89.43,81.1,500
29-Oct-2012,87.82,89.9,500
30-Oct-2012,88.22,80.07,500
31-Oct-2012,86.62,81.86,500
