Date,Advances,Declines,Unchanged,Advance Decline Ratio
01-Jun-2010,1504,517,56,2.909
02-Jun-2010,1382,560,88,2.468
03-Jun-2010,611,1437,45,0.425
04-Jun-2010,558,1435,30,0.389
07-Jun-2010,1122,812,34,1.382
08-Jun-2010,986,1104,127,0.893
09-Jun-2010,473,1579,98,0.3
10-Jun-2010,597,1353,22,0.441
11-Jun-2010,689,1401,55,0.492
14-Jun-2010,841,1112,57,0.756
15-Jun-2010,1197,764,68,1.567
16-Jun-2010,1008,929,70,1.085
17-Jun-2010,1382,547,91,2.527
18-Jun-2010,500,1459,75,0.343
21-Jun-2010,1170,874,24,1.339
22-Jun-2010,802,1282,80,0.626
23-Jun-2010,992,1045,20,0.949
24-Jun-2010,669,1387,79,0.482
25-Jun-2010,1215,712,25,1.706
28-Jun-2010,689,1325,56,0.52
29-Jun-2010,483,1587,123,0.304
30-Jun-2010,748,1195,121,0.626
01-Jul-2010,892,1067,43,0.836
02-Jul-2010,1340,686,101,1.953
05-Jul-2010,835,1140,50,0.732
06-Jul-2010,477,1524,45,0.313
07-Jul-2010,848,1081,58,0.784
08-Jul-2010,1287,794,106,1.621
09-Jul-2010,1064,907,81,1.173
12-Jul-2010,1142,919,85,1.243
13-Jul-2010,732,1244,59,0.588
14-Jul-2010,1718,227,21,7.568
15-Jul-2010,1437,531,44,2.706
16-Jul-2010,947,1152,109,0.822
19-Jul-2010,1028,1056,36,0.973
20-Jul-2010,1522,472,117,3.225
21-Jul-2010,892,1144,23,0.78
22-Jul-2010,810,1175,112,0.689
23-Jul-2010,746,1168,100,0.639
26-Jul-2010,956,1032,53,0.926
27-Jul-2010,1189,850,77,1.399
28-Jul-2010,923,1041,77,0.887
29-Jul-2010,1103,852,64,1.295
30-Jul-2010,1270,818,126,1.553
02-Aug-2010,1500,453,56,3.311
03-Aug-2010,430,1507,100,0.285
04-Aug-2010,628,1381,91,0.455
05-Aug-2010,723,1257,94,0.575
06-Aug-2010,621,1434,38,0.433
09-Aug-2010,807,1260,39,0.64
10-Aug-2010,799,1242,64,0.643
11-Aug-2010,963,993,101,0.97
12-Aug-2010,673,1255,86,0.536
13-Aug-2010,801,1155,107,0.694
16-Aug-2010,989,966,68,1.024
17-Aug-2010,1115,897,43,1.243
18-Aug-2010,800,1230,121,0.65
19-Aug-2010,489,1513,34,0.323
20-Aug-2010,435,1543,40,0.282
23-Aug-2010,757,1219,52,0.621
24-Aug-2010,651,1266,51,0.514
25-Aug-2010,829,1175,65,0.706
26-Aug-2010,1334,681,96,1.959
27-Aug-2010,886,1069,118,0.829
30-Aug-2010,748,1246,122,0.6
31-Aug-2010,894,1191,128,0.751
01-Sep-2010,891,1034,62,0.862
02-Sep-2010,701,1302,111,0.538
03-Sep-2010,698,1301,24,0.537
06-Sep-2010,1030,886,29,1.163
07-Sep-2010,638,1410,119,0.452
08-Sep-2010,1030,1033,82,0.997
09-Sep-2010,738,1246,58,0.592
10-Sep-2010,140,1945,61,0.072
13-Sep-2010,1312,609,36,2.154
14-Sep-2010,838,1230,80,0.681
15-Sep-2010,1286,626,86,2.054
16-Sep-2010,1357,597,61,2.273
17-Sep-2010,604,1481,38,0.408
20-Sep-2010,388,1655,55,0.234
21-Sep-2010,901,1029,48,0.876
22-Sep-2010,1059,1023,50,1.035
23-Sep-2010,969,980,26,0.989
24-Sep-2010,417,1503,58,0.277
27-Sep-2010,703,1220,24,0.576
28-Sep-2010,870,1180,52,0.737
29-Sep-2010,856,1162,124,0.737
30-Sep-2010,823,1222,120,0.673
01-Oct-2010,1027,1028,21,0.999
04-Oct-2010,998,1042,116,0.958
05-Oct-2010,1453,545,104,2.666
06-Oct-2010,573,1448,22,0.396
07-Oct-2010,686,1311,126,0.523
08-Oct-2010,621,1410,82,0.44
11-Oct-2010,728,1301,67,0.56
12-Oct-2010,770,1146,53,0.672
13-Oct-2010,744,1210,101,0.615
14-Oct-2010,637,1446,93,0.441
15-Oct-2010,1265,675,54,1.874
18-Oct-2010,646,1294,68,0.499
19-Oct-2010,494,1445,60,0.342
20-Oct-2010,969,1063,63,0.912
21-Oct-2010,856,1102,87,0.777
22-Oct-2010,665,1361,73,0.489
25-Oct-2010,514,1566,111,0.328
26-Oct-2010,918,1145,45,0.802
27-Oct-2010,668,1425,122,0.469
28-Oct-2010,1035,1051,86,0.985
29-Oct-2010,711,1363,70,0.522
01-Nov-2010,891,1045,81,0.853
02-Nov-2010,803,1280,39,0.627
03-Nov-2010,605,1301,46,0.465
04-Nov-2010,380,1635,70,0.232
05-Nov-2010,578,1343,109,0.43
08-Nov-2010,1170,765,29,1.529
09-Nov-2010,978,1022,66,0.957
10-Nov-2010,562,1509,57,0.372
11-Nov-2010,1380,528,94,2.614
12-Nov-2010,483,1453,22,0.332
15-Nov-2010,647,1366,116,0.474
16-Nov-2010,1280,652,92,1.963
17-Nov-2010,671,1310,43,0.512
18-Nov-2010,896,1102,71,0.813
19-Nov-2010,908,1053,64,0.862
22-Nov-2010,1262,781,97,1.616
23-Nov-2010,947,1101,87,0.86
24-Nov-2010,1172,765,26,1.532
25-Nov-2010,708,1345,128,0.526
26-Nov-2010,735,1318,69,0.558
29-Nov-2010,1520,545,124,2.789
30-Nov-2010,765,1145,108,0.668
01-Dec-2010,408,1626,39,0.251
02-Dec-2010,618,1458,119,0.424
03-Dec-2010,469,1571,75,0.299
06-Dec-2010,602,1385,52,0.435
07-Dec-2010,619,1323,108,0.468
08-Dec-2010,833,1171,29,0.711
09-Dec-2010,1169,736,106,1.588
10-Dec-2010,340,1574,119,0.216
13-Dec-2010,434,1530,24,0.284
14-Dec-2010,532,1563,73,0.34
15-Dec-2010,833,1189,46,0.701
16-Dec-2010,970,1101,69,0.881
17-Dec-2010,1179,770,114,1.531
20-Dec-2010,798,1185,51,0.673
21-Dec-2010,1086,895,99,1.213
22-Dec-2010,865,1176,82,0.736
23-Dec-2010,879,1181,34,0.744
24-Dec-2010,665,1414,30,0.47
27-Dec-2010,1126,895,89,1.258
28-Dec-2010,440,1569,121,0.28
29-Dec-2010,914,1084,105,0.843
30-Dec-2010,1009,1045,68,0.966
31-Dec-2010,1110,823,21,1.349
03-Jan-2011,809,1275,38,0.635
04-Jan-2011,894,1128,43,0.793
05-Jan-2011,909,1061,35,0.857
06-Jan-2011,904,998,22,0.906
07-Jan-2011,1071,971,26,1.103
10-Jan-2011,500,1400,101,0.357
11-Jan-2011,1468,447,38,3.284
12-Jan-2011,950,1111,122,0.855
13-Jan-2011,695,1226,84,0.567
14-Jan-2011,634,1285,67,0.493
17-Jan-2011,756,1226,92,0.617
18-Jan-2011,1246,779,115,1.599
19-Jan-2011,1005,1080,21,0.931
20-Jan-2011,259,1678,34,0.154
21-Jan-2011,504,1446,42,0.349
24-Jan-2011,570,1451,88,0.393
25-Jan-2011,1602,367,33,4.365
26-Jan-2011,721,1250,44,0.577
27-Jan-2011,674,1390,121,0.485
28-Jan-2011,976,1004,26,0.972
31-Jan-2011,993,973,100,1.021
01-Feb-2011,949,1070,30,0.887
02-Feb-2011,1153,827,106,1.394
03-Feb-2011,778,1174,92,0.663
04-Feb-2011,907,1138,109,0.797
07-Feb-2011,765,1250,23,0.612
08-Feb-2011,574,1476,107,0.389
09-Feb-2011,1174,801,128,1.466
10-Feb-2011,1044,1037,59,1.007
11-Feb-2011,948,1078,103,0.879
14-Feb-2011,427,1666,64,0.256
15-Feb-2011,370,1568,119,0.236
16-Feb-2011,1129,801,69,1.409
17-Feb-2011,453,1528,23,0.296
18-Feb-2011,1025,927,21,1.106
21-Feb-2011,965,995,58,0.97
22-Feb-2011,890,1184,51,0.752
23-Feb-2011,1078,833,31,1.294
24-Feb-2011,656,1410,75,0.465
25-Feb-2011,654,1375,52,0.476
28-Feb-2011,915,1174,123,0.779
01-Mar-2011,1062,918,90,1.157
02-Mar-2011,795,1132,45,0.702
03-Mar-2011,1038,876,43,1.185
04-Mar-2011,596,1473,122,0.405
07-Mar-2011,937,974,81,0.962
08-Mar-2011,944,1072,112,0.881
09-Mar-2011,862,1128,42,0.764
10-Mar-2011,1097,927,117,1.183
11-Mar-2011,499,1431,128,0.349
14-Mar-2011,1293,773,86,1.673
15-Mar-2011,721,1332,73,0.541
16-Mar-2011,948,985,106,0.962
17-Mar-2011,877,1212,59,0.724
18-Mar-2011,777,1178,28,0.66
21-Mar-2011,1138,905,107,1.257
22-Mar-2011,470,1444,99,0.325
23-Mar-2011,1221,855,88,1.428
24-Mar-2011,864,1097,48,0.788
25-Mar-2011,725,1345,71,0.539
28-Mar-2011,1324,765,126,1.731
29-Mar-2011,994,1009,87,0.985
30-Mar-2011,1365,581,24,2.349
31-Mar-2011,295,1787,20,0.165
01-Apr-2011,1355,662,126,2.047
04-Apr-2011,534,1565,64,0.341
05-Apr-2011,1075,903,92,1.19
06-Apr-2011,998,971,125,1.028
07-Apr-2011,867,1231,78,0.704
08-Apr-2011,981,1083,33,0.906
11-Apr-2011,1411,502,54,2.811
12-Apr-2011,516,1562,51,0.33
13-Apr-2011,655,1356,57,0.483
14-Apr-2011,943,1043,32,0.904
15-Apr-2011,1120,848,89,1.321
18-Apr-2011,1063,842,96,1.262
19-Apr-2011,963,1123,119,0.858
20-Apr-2011,764,1266,128,0.603
21-Apr-2011,1194,809,29,1.476
22-Apr-2011,1147,894,44,1.283
25-Apr-2011,897,1039,118,0.863
26-Apr-2011,1284,724,77,1.773
27-Apr-2011,1042,963,87,1.082
28-Apr-2011,778,1259,68,0.618
29-Apr-2011,1092,978,30,1.117
02-May-2011,885,1045,121,0.847
03-May-2011,1122,974,56,1.152
04-May-2011,1124,797,41,1.41
05-May-2011,804,1168,72,0.688
06-May-2011,947,955,64,0.992
09-May-2011,39,1975,67,0.02
10-May-2011,876,1080,83,0.811
11-May-2011,666,1360,86,0.49
12-May-2011,1081,962,104,1.124
13-May-2011,632,1294,64,0.488
16-May-2011,379,1593,25,0.238
17-May-2011,825,1093,26,0.755
18-May-2011,930,978,23,0.951
19-May-2011,348,1624,20,0.214
20-May-2011,1089,860,125,1.266
23-May-2011,634,1388,65,0.457
24-May-2011,428,1650,96,0.259
25-May-2011,761,1161,24,0.655
26-May-2011,310,1644,73,0.189
27-May-2011,474,1610,99,0.294
30-May-2011,998,951,102,1.049
31-May-2011,184,1772,94,0.104
01-Jun-2011,924,1135,68,0.814
02-Jun-2011,672,1412,63,0.476
03-Jun-2011,754,1232,23,0.612
06-Jun-2011,643,1455,57,0.442
07-Jun-2011,939,1132,111,0.83
08-Jun-2011,726,1222,57,0.594
09-Jun-2011,509,1421,30,0.358
10-Jun-2011,989,1046,37,0.946
13-Jun-2011,1089,964,31,1.13
14-Jun-2011,678,1369,115,0.495
15-Jun-2011,915,1140,102,0.803
16-Jun-2011,614,1294,127,0.474
17-Jun-2011,966,981,30,0.985
20-Jun-2011,249,1730,76,0.144
21-Jun-2011,148,1763,99,0.084
22-Jun-2011,1011,1070,106,0.945
23-Jun-2011,855,1215,63,0.704
24-Jun-2011,1419,583,42,2.434
27-Jun-2011,1260,645,123,1.953
28-Jun-2011,1197,814,123,1.471
29-Jun-2011,1373,532,50,2.581
30-Jun-2011,1298,739,41,1.756
01-Jul-2011,843,1167,95,0.722
04-Jul-2011,620,1383,29,0.448
05-Jul-2011,603,1397,34,0.432
06-Jul-2011,878,1057,29,0.831
07-Jul-2011,1181,836,91,1.413
08-Jul-2011,1249,819,63,1.525
11-Jul-2011,1027,1026,66,1.001
12-Jul-2011,494,1509,30,0.327
13-Jul-2011,592,1319,87,0.449
14-Jul-2011,1125,926,123,1.215
15-Jul-2011,1313,615,35,2.135
18-Jul-2011,446,1554,72,0.287
19-Jul-2011,246,1747,120,0.141
20-Jul-2011,585,1460,29,0.401
21-Jul-2011,1250,743,25,1.682
22-Jul-2011,1316,711,102,1.851
25-Jul-2011,625,1446,59,0.432
26-Jul-2011,528,1404,61,0.376
27-Jul-2011,673,1400,31,0.481
28-Jul-2011,806,1268,65,0.636
29-Jul-2011,619,1361,81,0.455
01-Aug-2011,504,1544,65,0.326
02-Aug-2011,951,1047,81,0.908
03-Aug-2011,848,1214,85,0.699
04-Aug-2011,545,1411,33,0.386
05-Aug-2011,986,1002,31,0.984
08-Aug-2011,963,1134,51,0.849
09-Aug-2011,470,1578,77,0.298
10-Aug-2011,1129,965,126,1.17
11-Aug-2011,529,1540,62,0.344
12-Aug-2011,1278,677,42,1.888
15-Aug-2011,1024,1027,50,0.997
16-Aug-2011,520,1417,28,0.367
17-Aug-2011,743,1191,72,0.624
18-Aug-2011,908,1100,124,0.825
19-Aug-2011,686,1393,81,0.492
22-Aug-2011,887,1183,88,0.75
23-Aug-2011,1129,958,56,1.178
24-Aug-2011,939,1016,56,0.924
25-Aug-2011,1367,654,51,2.09
26-Aug-2011,918,1122,118,0.818
29-Aug-2011,645,1331,74,0.485
30-Aug-2011,1269,813,60,1.561
31-Aug-2011,1130,847,86,1.334
01-Sep-2011,559,1468,86,0.381
02-Sep-2011,873,1187,97,0.735
05-Sep-2011,1074,922,50,1.165
06-Sep-2011,1096,928,129,1.181
07-Sep-2011,1125,856,57,1.314
08-Sep-2011,996,927,28,1.074
09-Sep-2011,406,1566,125,0.259
12-Sep-2011,690,1397,60,0.494
13-Sep-2011,1016,1058,25,0.96
14-Sep-2011,1322,682,29,1.938
15-Sep-2011,562,1488,114,0.378
16-Sep-2011,509,1414,60,0.36
19-Sep-2011,752,1163,123,0.647
20-Sep-2011,744,1297,118,0.574
21-Sep-2011,808,1213,64,0.666
22-Sep-2011,797,1295,114,0.615
23-Sep-2011,1183,878,54,1.347
26-Sep-2011,843,1138,103,0.741
27-Sep-2011,1387,551,109,2.517
28-Sep-2011,1510,587,119,2.572
29-Sep-2011,806,1225,72,0.658
30-Sep-2011,681,1236,42,0.551
03-Oct-2011,777,1153,103,0.674
04-Oct-2011,1337,740,85,1.807
05-Oct-2011,1128,772,62,1.461
06-Oct-2011,506,1583,62,0.32
07-Oct-2011,1097,935,106,1.173
10-Oct-2011,573,1358,39,0.422
11-Oct-2011,852,1141,29,0.747
12-Oct-2011,783,1309,80,0.598
13-Oct-2011,846,1188,65,0.712
14-Oct-2011,485,1418,93,0.342
17-Oct-2011,812,1267,55,0.641
18-Oct-2011,964,1060,49,0.909
19-Oct-2011,693,1347,101,0.514
20-Oct-2011,1055,896,86,1.177
21-Oct-2011,930,1161,82,0.801
24-Oct-2011,924,1032,89,0.895
25-Oct-2011,1252,724,39,1.729
26-Oct-2011,976,1072,102,0.91
27-Oct-2011,581,1444,27,0.402
28-Oct-2011,674,1343,52,0.502
31-Oct-2011,639,1324,92,0.483
01-Nov-2011,1266,675,117,1.876
02-Nov-2011,869,1210,40,0.718
03-Nov-2011,1625,376,63,4.322
04-Nov-2011,869,1061,97,0.819
07-Nov-2011,502,1502,69,0.334
08-Nov-2011,849,1158,60,0.733
09-Nov-2011,1287,628,74,2.049
10-Nov-2011,1179,780,101,1.512
11-Nov-2011,608,1454,82,0.418
14-Nov-2011,720,1322,127,0.545
15-Nov-2011,557,1358,49,0.41
16-Nov-2011,679,1370,24,0.496
17-Nov-2011,1025,1011,60,1.014
18-Nov-2011,839,1131,116,0.742
21-Nov-2011,463,1447,63,0.32
22-Nov-2011,959,995,78,0.964
23-Nov-2011,529,1531,88,0.346
24-Nov-2011,1208,873,48,1.384
25-Nov-2011,636,1300,84,0.489
28-Nov-2011,602,1474,37,0.408
29-Nov-2011,924,1169,52,0.79
30-Nov-2011,303,1708,129,0.177
01-Dec-2011,785,1241,100,0.633
02-Dec-2011,273,1676,106,0.163
05-Dec-2011,1539,509,33,3.024
06-Dec-2011,684,1282,49,0.534
07-Dec-2011,844,1097,88,0.769
08-Dec-2011,198,1861,57,0.106
09-Dec-2011,892,1098,32,0.812
12-Dec-2011,676,1326,23,0.51
13-Dec-2011,418,1617,30,0.259
14-Dec-2011,484,1492,49,0.324
15-Dec-2011,1033,1012,123,1.021
16-Dec-2011,353,1696,63,0.208
19-Dec-2011,896,1163,30,0.77
20-Dec-2011,429,1590,49,0.27
21-Dec-2011,800,1281,52,0.625
22-Dec-2011,1139,845,124,1.348
23-Dec-2011,1208,853,124,1.416
26-Dec-2011,688,1277,27,0.539
27-Dec-2011,1010,925,68,1.092
28-Dec-2011,1005,914,82,1.1
29-Dec-2011,997,966,23,1.032
30-Dec-2011,751,1329,64,0.565
02-Jan-2012,742,1301,28,0.57
03-Jan-2012,586,1490,41,0.393
04-Jan-2012,885,1212,28,0.73
05-Jan-2012,878,1024,60,0.857
06-Jan-2012,698,1269,25,0.55
09-Jan-2012,1098,955,117,1.15
10-Jan-2012,593,1410,71,0.421
11-Jan-2012,646,1375,74,0.47
12-Jan-2012,1209,728,47,1.661
13-Jan-2012,966,1004,30,0.962
16-Jan-2012,910,1053,41,0.864
17-Jan-2012,697,1302,128,0.535
18-Jan-2012,538,1382,50,0.389
19-Jan-2012,1146,902,52,1.271
20-Jan-2012,703,1300,98,0.541
23-Jan-2012,712,1356,20,0.525
24-Jan-2012,1164,737,65,1.579
25-Jan-2012,811,1257,92,0.645
26-Jan-2012,807,1149,22,0.702
27-Jan-2012,1018,1068,124,0.953
30-Jan-2012,560,1363,115,0.411
31-Jan-2012,402,1575,74,0.255
01-Feb-2012,660,1410,27,0.468
02-Feb-2012,643,1260,56,0.51
03-Feb-2012,887,1120,116,0.792
06-Feb-2012,511,1401,77,0.365
07-Feb-2012,490,1471,24,0.333
08-Feb-2012,1000,1050,25,0.952
09-Feb-2012,900,1175,37,0.766
10-Feb-2012,422,1531,128,0.276
13-Feb-2012,709,1309,70,0.542
14-Feb-2012,383,1558,78,0.246
15-Feb-2012,728,1312,82,0.555
16-Feb-2012,1137,942,27,1.207
17-Feb-2012,861,1213,35,0.71
20-Feb-2012,851,1232,100,0.691
21-Feb-2012,508,1513,128,0.336
22-Feb-2012,1209,846,128,1.429
23-Feb-2012,779,1309,53,0.595
24-Feb-2012,670,1232,62,0.544
27-Feb-2012,738,1280,94,0.577
28-Feb-2012,1103,811,33,1.36
29-Feb-2012,1001,997,38,1.004
01-Mar-2012,917,1039,39,0.883
02-Mar-2012,545,1546,88,0.353
05-Mar-2012,1122,837,20,1.341
06-Mar-2012,477,1455,103,0.328
07-Mar-2012,296,1752,35,0.169
08-Mar-2012,858,1061,31,0.809
09-Mar-2012,1080,851,107,1.269
12-Mar-2012,613,1289,55,0.476
13-Mar-2012,543,1375,61,0.395
14-Mar-2012,565,1386,65,0.408
15-Mar-2012,1508,533,100,2.829
16-Mar-2012,1051,1006,49,1.045
19-Mar-2012,844,1060,109,0.796
20-Mar-2012,1036,943,63,1.099
21-Mar-2012,1081,976,21,1.108
22-Mar-2012,611,1416,63,0.431
23-Mar-2012,1404,509,66,2.758
26-Mar-2012,925,1099,53,0.842
27-Mar-2012,1055,851,92,1.24
28-Mar-2012,648,1414,78,0.458
29-Mar-2012,851,1096,50,0.776
30-Mar-2012,1024,881,70,1.162
02-Apr-2012,1035,946,21,1.094
03-Apr-2012,1196,757,67,1.58
04-Apr-2012,391,1613,124,0.242
05-Apr-2012,520,1470,85,0.354
06-Apr-2012,703,1278,116,0.55
09-Apr-2012,1718,240,27,7.158
10-Apr-2012,924,1010,78,0.915
11-Apr-2012,691,1224,84,0.565
12-Apr-2012,1307,617,22,2.118
13-Apr-2012,984,1018,70,0.967
16-Apr-2012,736,1173,91,0.627
17-Apr-2012,506,1441,93,0.351
18-Apr-2012,893,1111,115,0.804
19-Apr-2012,537,1455,24,0.369
20-Apr-2012,506,1478,120,0.342
23-Apr-2012,892,1184,61,0.753
24-Apr-2012,1195,805,76,1.484
25-Apr-2012,791,1285,114,0.616
26-Apr-2012,922,1160,45,0.795
27-Apr-2012,1042,923,84,1.129
30-Apr-2012,748,1256,70,0.596
01-May-2012,933,1105,86,0.844
02-May-2012,956,1047,89,0.913
03-May-2012,921,1016,95,0.906
04-May-2012,986,933,94,1.057
07-May-2012,759,1207,35,0.629
08-May-2012,463,1509,70,0.307
09-May-2012,628,1471,26,0.427
10-May-2012,861,1197,66,0.719
11-May-2012,420,1526,50,0.275
14-May-2012,772,1155,78,0.668
15-May-2012,415,1581,41,0.262
16-May-2012,1000,970,20,1.031
17-May-2012,465,1468,77,0.317
18-May-2012,1092,846,25,1.291
21-May-2012,849,1178,27,0.721
22-May-2012,893,1083,89,0.825
23-May-2012,544,1472,34,0.37
24-May-2012,685,1329,110,0.515
25-May-2012,1156,857,88,1.349
28-May-2012,637,1438,42,0.443
29-May-2012,819,1190,111,0.688
30-May-2012,663,1268,119,0.523
31-May-2012,1038,1060,65,0.979
01-Jun-2012,952,1031,109,0.923
04-Jun-2012,698,1399,113,0.499
05-Jun-2012,665,1431,84,0.465
06-Jun-2012,1002,928,46,1.08
07-Jun-2012,941,1067,75,0.882
08-Jun-2012,551,1536,122,0.359
11-Jun-2012,978,1049,39,0.932
12-Jun-2012,417,1540,73,0.271
13-Jun-2012,977,1112,56,0.879
14-Jun-2012,814,1265,76,0.643
15-Jun-2012,757,1183,60,0.64
18-Jun-2012,745,1239,99,0.601
19-Jun-2012,1025,961,119,1.067
20-Jun-2012,605,1402,53,0.432
21-Jun-2012,646,1433,43,0.451
22-Jun-2012,918,1146,112,0.801
25-Jun-2012,912,1022,91,0.892
26-Jun-2012,1429,489,98,2.922
27-Jun-2012,593,1391,38,0.426
28-Jun-2012,799,1204,36,0.664
29-Jun-2012,852,1187,60,0.718
02-Jul-2012,715,1253,59,0.571
03-Jul-2012,530,1567,20,0.338
04-Jul-2012,621,1352,88,0.459
05-Jul-2012,589,1446,80,0.407
06-Jul-2012,906,1179,93,0.768
09-Jul-2012,1360,675,106,2.015
10-Jul-2012,598,1439,50,0.416
11-Jul-2012,676,1351,101,0.5
12-Jul-2012,1143,877,82,1.303
13-Jul-2012,757,1324,32,0.572
16-Jul-2012,1366,670,115,2.039
17-Jul-2012,833,1220,42,0.683
18-Jul-2012,435,1492,116,0.292
19-Jul-2012,700,1368,38,0.512
20-Jul-2012,710,1329,58,0.534
23-Jul-2012,504,1560,129,0.323
24-Jul-2012,1183,833,103,1.42
25-Jul-2012,595,1362,77,0.437
26-Jul-2012,933,1047,27,0.891
27-Jul-2012,949,1020,77,0.93
30-Jul-2012,675,1290,35,0.523
31-Jul-2012,936,967,46,0.968
01-Aug-2012,1054,945,111,1.115
02-Aug-2012,187,1773,51,0.105
03-Aug-2012,875,1199,23,0.73
06-Aug-2012,1136,961,101,1.182
07-Aug-2012,537,1435,83,0.374
08-Aug-2012,843,1119,128,0.753
09-Aug-2012,1047,980,51,1.068
10-Aug-2012,460,1613,35,0.285
13-Aug-2012,295,1661,84,0.178
14-Aug-2012,400,1555,35,0.257
15-Aug-2012,1135,927,107,1.224
16-Aug-2012,714,1214,123,0.588
17-Aug-2012,889,1210,36,0.735
20-Aug-2012,691,1236,66,0.559
21-Aug-2012,1068,847,20,1.261
22-Aug-2012,974,1025,38,0.95
23-Aug-2012,229,1864,55,0.123
24-Aug-2012,1181,756,25,1.562
27-Aug-2012,521,1381,65,0.377
28-Aug-2012,968,1051,68,0.921
29-Aug-2012,488,1484,102,0.329
30-Aug-2012,814,1141,84,0.713
31-Aug-2012,572,1516,112,0.377
03-Sep-2012,695,1296,50,0.536
04-Sep-2012,985,974,76,1.011
05-Sep-2012,904,1113,84,0.812
06-Sep-2012,797,1210,127,0.659
07-Sep-2012,968,1123,75,0.862
10-Sep-2012,528,1412,55,0.374
11-Sep-2012,1618,466,116,3.472
