Date,Gold (USD/troy oz)
2011-06-21,2623.0
2011-06-22,2633.48
2011-06-23,2619.62
2011-06-24,2655.64
2011-06-27,2665.01
2011-06-28,2730.78
2011-06-29,2706.62
2011-06-30,2681.96
2011-07-01,2660.84
2011-07-04,2655.28
2011-07-05,2705.77
2011-07-06,2692.0
2011-07-07,2669.99
2011-07-08,2682.35
2011-07-11,2651.7
2011-07-12,2687.64
2011-07-13,2616.82
2011-07-14,2620.89
2011-07-15,2649.17
2011-07-18,2664.22
2011-07-19,2634.16
2011-07-20,2662.79
2011-07-21,2666.22
2011-07-22,2710.17
2011-07-25,2759.32
2011-07-26,2801.61
2011-07-27,2796.75
2011-07-28,2825.19
2011-07-29,2884.15
2011-08-01,2841.5
2011-08-02,2814.98
2011-08-03,2826.02
2011-08-04,2825.17
2011-08-05,2864.23
2011-08-08,2879.86
2011-08-09,2873.29
2011-08-10,2816.0
2011-08-11,2880.87
2011-08-12,2887.76
2011-08-15,2913.95
2011-08-16,2969.03
2011-08-17,2930.01
2011-08-18,2875.16
2011-08-19,2892.46
2011-08-22,2919.06
2011-08-23,2934.64
2011-08-24,2899.07
2011-08-25,2875.64
2011-08-26,2861.39
2011-08-29,2868.42
2011-08-30,2855.79
2011-08-31,2843.78
2011-09-01,2811.9
2011-09-02,2793.0
2011-09-05,2760.86
2011-09-06,2758.75
2011-09-07,2791.65
2011-09-08,2849.2
2011-09-09,2850.39
2011-09-12,2905.97
2011-09-13,2946.41
2011-09-14,2952.1
2011-09-15,2953.88
2011-09-16,3008.09
2011-09-19,3051.33
2011-09-20,3064.03
2011-09-21,3087.38
2011-09-22,3117.46
2011-09-23,3163.26
2011-09-26,3116.64
2011-09-27,3143.46
2011-09-28,3154.85
2011-09-29,3166.68
2011-09-30,3188.36
2011-10-03,3201.98
2011-10-04,3268.85
2011-10-05,3342.79
2011-10-06,3344.81
2011-10-07,3364.4
2011-10-10,3395.62
2011-10-11,3349.92
2011-10-12,3375.41
2011-10-13,3407.51
2011-10-14,3416.34
2011-10-17,3444.58
2011-10-18,3462.27
2011-10-19,3508.63
2011-10-20,3496.75
2011-10-21,3455.84
2011-10-24,3396.75
2011-10-25,3396.39
2011-10-26,3407.63
2011-10-27,3462.04
2011-10-28,3468.45
2011-10-31,3449.87
2011-11-01,3439.92
2011-11-02,3461.38
2011-11-03,3492.04
2011-11-04,3530.34
2011-11-07,3503.69
2011-11-08,3526.86
2011-11-09,3530.13
2011-11-10,3510.14
2011-11-11,3594.39
2011-11-14,3560.11
2011-11-15,3575.97
2011-11-16,3584.86
2011-11-17,3621.68
2011-11-18,3618.81
2011-11-21,3710.79
2011-11-22,3732.45
2011-11-23,3766.44
2011-11-24,3819.72
2011-11-25,3822.33
2011-11-28,3888.42
2011-11-29,3933.86
2011-11-30,3911.98
2011-12-01,3891.57
2011-12-02,3926.51
2011-12-05,3845.06
2011-12-06,3847.76
2011-12-07,3889.86
2011-12-08,3863.44
2011-12-09,3927.56
2011-12-12,3965.94
2011-12-13,3941.52
2011-12-14,3898.63
2011-12-15,3912.63
2011-12-16,3780.78
2011-12-19,3824.33
2011-12-20,3759.19
2011-12-21,3841.21
2011-12-22,3868.56
2011-12-23,3856.6
2011-12-26,3849.69
2011-12-27,3925.86
2011-12-28,3932.52
2011-12-29,3957.54
2011-12-30,3915.07
2012-01-02,3936.85
2012-01-03,3926.41
2012-01-04,3965.48
2012-01-05,3924.42
2012-01-06,3882.36
2012-01-09,3851.18
2012-01-10,3897.94
2012-01-11,3886.22
2012-01-12,3879.73
2012-01-13,3868.7
2012-01-16,3890.83
2012-01-17,3818.05
2012-01-18,3898.54
2012-01-19,3908.19
2012-01-20,3925.15
2012-01-23,3831.13
2012-01-24,3839.34
2012-01-25,3851.88
2012-01-26,3789.62
2012-01-27,3782.85
2012-01-30,3730.69
2012-01-31,3723.13
2012-02-01,3761.93
2012-02-02,3760.14
2012-02-03,3882.84
2012-02-06,3923.94
2012-02-07,3869.27
2012-02-08,3902.15
2012-02-09,3948.1
2012-02-10,4012.87
2012-02-13,4032.31
2012-02-14,4068.8
2012-02-15,4064.33
2012-02-16,4117.44
2012-02-17,4119.84
2012-02-20,4131.02
2012-02-21,4058.74
2012-02-22,4035.04
2012-02-23,4114.24
2012-02-24,4011.23
2012-02-27,4021.13
2012-02-28,4075.38
2012-02-29,4211.26
2012-03-01,4294.58
2012-03-02,4384.71
2012-03-05,4413.49
2012-03-06,4357.0
2012-03-07,4326.71
2012-03-08,4335.24
2012-03-09,4262.39
2012-03-12,4313.89
2012-03-13,4303.64
2012-03-14,4320.71
2012-03-15,4425.28
2012-03-16,4324.92
2012-03-19,4253.79
2012-03-20,4230.24
2012-03-21,4231.13
2012-03-22,4229.15
2012-03-23,4321.79
2012-03-26,4329.53
2012-03-27,4456.79
2012-03-28,4391.5
2012-03-29,4381.91
2012-03-30,4364.17
2012-04-02,4432.3
2012-04-03,4440.73
2012-04-04,4387.8
2012-04-05,4469.71
2012-04-06,4545.96
2012-04-09,4617.15
2012-04-10,4610.93
2012-04-11,4700.68
2012-04-12,4713.37
2012-04-13,4730.11
2012-04-16,4682.26
2012-04-17,4679.56
2012-04-18,4629.86
2012-04-19,4662.39
2012-04-20,4716.23
2012-04-23,4886.24
2012-04-24,4881.14
2012-04-25,4888.1
2012-04-26,4851.62
2012-04-27,4861.76
2012-04-30,4886.27
2012-05-01,4815.07
2012-05-02,4802.42
2012-05-03,4747.28
2012-05-04,4835.2
2012-05-07,4762.26
2012-05-08,4858.27
2012-05-09,4826.01
2012-05-10,4820.5
2012-05-11,4859.24
2012-05-14,4899.38
2012-05-15,4900.19
2012-05-16,4975.0
2012-05-17,4986.33
2012-05-18,4969.44
2012-05-21,4933.85
2012-05-22,4921.75
2012-05-23,4866.84
2012-05-24,4959.32
2012-05-25,4972.07
2012-05-28,4968.88
2012-05-29,4902.41
2012-05-30,4938.0
2012-05-31,4958.69
2012-06-01,4942.27
2012-06-04,4996.15
2012-06-05,4976.97
2012-06-06,5031.1
2012-06-07,5148.91
2012-06-08,5103.06
2012-06-11,5136.33
2012-06-12,5062.22
2012-06-13,5217.58
2012-06-14,5241.7
2012-06-15,5268.79
2012-06-18,5262.9
2012-06-19,5221.23
2012-06-20,5155.18
2012-06-21,5208.31
2012-06-22,5280.27
2012-06-25,5301.54
2012-06-26,5357.35
2012-06-27,5297.93
2012-06-28,5295.54
2012-06-29,5314.82
2012-07-02,5351.62
2012-07-03,5338.35
2012-07-04,5427.36
2012-07-05,5477.93
2012-07-06,5485.25
2012-07-09,5528.75
2012-07-10,5522.14
2012-07-11,5571.56
2012-07-12,5545.52
2012-07-13,5610.75
2012-07-16,5597.93
2012-07-17,5528.96
2012-07-18,5615.69
2012-07-19,5577.91
2012-07-20,5613.97
2012-07-23,5578.05
2012-07-24,5645.06
2012-07-25,5655.75
2012-07-26,5729.72
2012-07-27,5807.84
2012-07-30,5898.14
2012-07-31,5969.8
2012-08-01,6041.46
2012-08-02,6111.68
2012-08-03,6203.5
2012-08-06,6329.86
2012-08-07,6254.52
2012-08-08,6381.41
2012-08-09,6298.68
2012-08-10,6379.01
2012-08-13,6533.1
2012-08-14,6607.87
2012-08-15,6746.19
2012-08-16,6721.48
2012-08-17,6834.5
2012-08-20,6782.98
2012-08-21,6765.44
2012-08-22,6840.75
2012-08-23,6965.22
2012-08-24,7181.29
2012-08-27,7212.52
2012-08-28,7279.96
2012-08-29,7323.31
2012-08-30,7416.24
2012-08-31,7414.69
2012-09-03,7424.68
2012-09-04,7472.05
2012-09-05,7471.59
2012-09-06,7481.51
2012-09-07,7541.46
2012-09-10,7602.0
2012-09-11,7639.53
2012-09-12,7590.13
2012-09-13,7688.16
2012-09-14,7649.47
2012-09-17,7443.97
2012-09-18,7499.38
2012-09-19,7561.51
2012-09-20,7419.52
2012-09-21,7429.69
2012-09-24,7457.49
2012-09-25,7479.81
2012-09-26,7363.12
2012-09-27,7413.89
2012-09-28,7242.01
2012-10-01,7170.5
2012-10-02,7245.86
2012-10-03,7228.73
2012-10-04,7128.07
2012-10-05,7228.7
2012-10-08,7420.11
2012-10-09,7239.39
2012-10-10,7154.75
2012-10-11,7282.71
2012-10-12,7312.25
2012-10-15,7356.84
2012-10-16,7214.7
2012-10-17,7163.24
2012-10-18,7267.06
2012-10-19,7211.63
2012-10-22,7283.6
2012-10-23,7288.6
2012-10-24,7241.09
2012-10-25,7430.15
2012-10-26,7433.96
2012-10-29,7324.6
2012-10-30,7335.35
2012-10-31,7390.66
2012-11-01,7459.23
2012-11-02,7548.37
2012-11-05,7483.08
2012-11-06,7505.38
2012-11-07,7559.88
2012-11-08,7638.72
2012-11-09,7772.62
2012-11-12,7751.55
2012-11-13,7711.99
2012-11-14,7617.44
2012-11-15,7679.55
2012-11-16,7616.34
2012-11-19,7627.26
2012-11-20,7773.99
2012-11-21,7678.12
2012-11-22,7736.19
2012-11-23,7744.47
2012-11-26,7919.25
2012-11-27,7832.17
2012-11-28,7750.14
2012-11-29,7795.7
2012-11-30,7747.93
2012-12-03,7882.21
2012-12-04,8010.21
2012-12-05,8086.85
2012-12-06,8002.95
2012-12-07,8334.86
2012-12-10,8229.78
2012-12-11,8256.17
2012-12-12,8095.92
2012-12-13,8145.68
2012-12-14,8231.46
2012-12-17,8245.25
2012-12-18,8317.96
2012-12-19,8130.4
2012-12-20,8090.03
2012-12-21,8221.48
2012-12-24,8260.35
2012-12-25,8483.12
2012-12-26,8413.42
2012-12-27,8501.17
2012-12-28,8452.27
2012-12-31,8424.36
2013-01-01,8222.65
2013-01-02,8167.8
2013-01-03,8115.71
2013-01-04,8076.98
2013-01-07,8098.39
2013-01-08,8074.12
2013-01-09,8217.09
2013-01-10,8175.86
2013-01-11,8160.49
2013-01-14,8203.55
2013-01-15,8171.13
2013-01-16,8291.29
2013-01-17,8336.11
2013-01-18,8284.38
2013-01-21,8437.25
2013-01-22,8354.75
2013-01-23,8436.8
2013-01-24,8605.97
2013-01-25,8620.26
2013-01-28,8630.99
2013-01-29,8765.47
2013-01-30,8850.33
2013-01-31,8815.72
2013-02-01,8829.38
2013-02-04,8897.27
2013-02-05,8615.02
2013-02-06,8863.35
2013-02-07,8880.19
2013-02-08,8934.14
2013-02-11,8839.08
2013-02-12,9039.17
2013-02-13,9140.24
2013-02-14,9045.31
2013-02-15,9061.31
2013-02-18,9070.96
2013-02-19,9001.71
2013-02-20,9035.69
2013-02-21,9097.24
2013-02-22,9123.68
2013-02-25,8931.41
2013-02-26,8864.54
2013-02-27,9126.76
2013-02-28,8975.16
2013-03-01,9107.39
2013-03-04,9148.22
2013-03-05,9326.45
2013-03-06,9335.99
2013-03-07,9284.9
2013-03-08,9377.38
2013-03-11,9338.7
2013-03-12,9243.21
2013-03-13,9418.9
2013-03-14,9381.17
2013-03-15,9303.2
2013-03-18,9443.76
2013-03-19,9609.41
2013-03-20,9701.77
2013-03-21,9549.8
2013-03-22,9367.51
2013-03-25,9316.63
2013-03-26,9336.7
2013-03-27,9521.79
2013-03-28,9610.9
2013-03-29,9799.14
2013-04-01,9634.52
2013-04-02,9573.1
2013-04-03,9571.52
2013-04-04,9583.14
2013-04-05,9726.48
2013-04-08,9603.58
2013-04-09,9569.05
2013-04-10,9454.36
2013-04-11,9592.63
2013-04-12,9578.42
2013-04-15,9494.14
2013-04-16,9483.11
2013-04-17,9547.7
2013-04-18,9625.69
2013-04-19,9633.12
2013-04-22,9652.17
2013-04-23,9724.79
2013-04-24,9770.0
2013-04-25,9813.35
2013-04-26,9871.87
2013-04-29,9907.94
2013-04-30,10001.91
2013-05-01,10030.43
2013-05-02,10153.77
2013-05-03,10152.09
2013-05-06,10300.83
2013-05-07,10136.78
2013-05-08,10169.98
2013-05-09,10130.72
2013-05-10,10194.47
2013-05-13,10070.81
2013-05-14,10141.05
2013-05-15,10199.49
2013-05-16,10075.18
2013-05-17,10187.48
2013-05-20,10271.81
2013-05-21,10259.13
2013-05-22,10119.31
2013-05-23,10036.31
2013-05-24,9817.09
2013-05-27,9871.92
2013-05-28,9851.17
2013-05-29,9900.12
2013-05-30,9985.77
2013-05-31,10043.2
2013-06-03,10149.47
2013-06-04,10012.96
2013-06-05,9996.56
2013-06-06,10129.47
2013-06-07,10070.75
2013-06-10,10056.35
2013-06-11,9832.83
2013-06-12,9819.4
2013-06-13,9974.32
2013-06-14,10006.05
2013-06-17,9782.73
2013-06-18,9965.13
2013-06-19,9760.23
2013-06-20,9899.46
2013-06-21,10022.87
2013-06-24,9996.79
2013-06-25,9877.39
2013-06-26,10062.57
2013-06-27,9884.44
2013-06-28,9798.47
2013-07-01,9743.62
2013-07-02,9840.27
2013-07-03,9949.58
2013-07-04,9853.13
2013-07-05,9990.01
2013-07-08,9841.15
2013-07-09,9772.46
2013-07-10,9888.86
2013-07-11,10008.26
2013-07-12,10179.27
2013-07-15,10147.18
2013-07-16,10029.21
2013-07-17,10008.45
2013-07-18,9898.59
2013-07-19,9799.62
2013-07-22,9786.34
2013-07-23,9839.14
2013-07-24,9853.97
2013-07-25,9641.84
2013-07-26,9635.81
2013-07-29,9798.87
2013-07-30,9839.62
2013-07-31,9801.28
2013-08-01,9999.92
2013-08-02,10058.79
2013-08-05,10169.5
2013-08-06,9947.39
2013-08-07,10096.8
2013-08-08,10162.44
2013-08-09,10205.68
2013-08-12,9998.16
2013-08-13,10270.09
2013-08-14,10099.25
2013-08-15,10198.41
2013-08-16,10291.0
2013-08-19,10475.21
2013-08-20,10528.26
2013-08-21,10683.65
2013-08-22,10692.41
2013-08-23,10696.57
2013-08-26,10789.25
2013-08-27,10871.45
2013-08-28,11042.45
2013-08-29,11012.29
2013-08-30,11050.04
2013-09-02,11344.51
2013-09-03,11273.96
2013-09-04,10943.91
2013-09-05,11243.25
2013-09-06,11199.47
2013-09-09,11300.8
2013-09-10,11394.7
2013-09-11,11590.77
2013-09-12,11831.08
2013-09-13,11798.03
2013-09-16,11964.36
2013-09-17,11763.48
2013-09-18,12233.25
2013-09-19,12610.93
2013-09-20,12899.26
2013-09-23,12956.9
2013-09-24,12922.45
2013-09-25,12930.46
2013-09-26,12908.27
2013-09-27,13001.35
2013-09-30,12897.55
2013-10-01,12973.66
2013-10-02,12812.1
2013-10-03,13066.75
2013-10-04,13270.19
2013-10-07,13131.72
2013-10-08,13153.34
2013-10-09,13062.52
2013-10-10,12901.82
2013-10-11,13049.22
2013-10-14,12901.31
2013-10-15,12840.17
2013-10-16,12872.92
2013-10-17,13185.65
2013-10-18,13121.51
2013-10-21,13404.81
2013-10-22,13318.94
2013-10-23,13813.41
2013-10-24,13855.22
2013-10-25,13915.41
2013-10-28,13898.68
2013-10-29,13706.76
2013-10-30,13848.43
2013-10-31,14090.35
2013-11-01,14126.43
2013-11-04,14390.4
2013-11-05,14328.49
2013-11-06,14474.81
2013-11-07,14723.39
2013-11-08,14639.25
2013-11-11,14663.56
2013-11-12,14946.61
2013-11-13,15210.06
2013-11-14,15078.48
2013-11-15,15219.78
2013-11-18,15082.36
2013-11-19,15307.98
2013-11-20,14987.99
2013-11-21,14918.96
2013-11-22,14661.06
2013-11-25,14653.9
2013-11-26,14628.85
2013-11-27,14347.02
2013-11-28,14235.67
2013-11-29,14365.36
2013-12-02,14150.86
2013-12-03,13994.1
2013-12-04,13771.17
2013-12-05,13887.3
2013-12-06,14041.94
2013-12-09,14049.1
2013-12-10,14348.47
2013-12-11,14783.12
2013-12-12,14847.23
2013-12-13,14549.9
2013-12-16,14797.93
2013-12-17,14970.98
2013-12-18,15020.66
2013-12-19,15347.64
2013-12-20,15535.33
2013-12-23,15283.17
2013-12-24,15550.06
2013-12-25,15390.3
2013-12-26,15354.94
2013-12-27,15342.71
2013-12-30,15410.08
2013-12-31,15286.1
2014-01-01,15434.09
2014-01-02,15573.6
2014-01-03,15561.97
2014-01-06,15536.9
2014-01-07,15276.2
2014-01-08,15067.7
2014-01-09,15035.01
2014-01-10,15063.22
2014-01-13,15104.13
2014-01-14,15237.5
2014-01-15,15233.94
2014-01-16,15058.36
2014-01-17,15264.91
2014-01-20,15639.32
2014-01-21,15677.09
2014-01-22,15393.71
2014-01-23,15529.45
2014-01-24,14970.03
2014-01-27,14782.43
2014-01-28,14748.39
2014-01-29,14532.69
2014-01-30,14546.5
2014-01-31,14570.69
2014-02-03,14519.01
2014-02-04,14549.43
2014-02-05,14613.43
2014-02-06,14767.62
2014-02-07,14667.5
2014-02-10,14543.28
2014-02-11,14367.97
2014-02-12,14549.17
2014-02-13,14509.07
2014-02-14,14385.01
2014-02-17,14410.12
2014-02-18,14605.67
2014-02-19,14518.54
2014-02-20,14773.68
2014-02-21,14577.81
2014-02-24,14538.67
2014-02-25,14461.42
2014-02-26,14500.01
2014-02-27,14748.62
2014-02-28,14658.38
2014-03-03,14671.08
2014-03-04,14741.48
2014-03-05,14448.45
2014-03-06,14532.98
2014-03-07,14515.31
2014-03-10,14859.82
2014-03-11,15181.47
2014-03-12,15064.31
2014-03-13,15053.17
2014-03-14,14701.14
2014-03-17,14934.74
2014-03-18,14999.98
2014-03-19,14942.78
2014-03-20,15156.87
2014-03-21,15208.43
2014-03-24,15137.56
2014-03-25,15018.44
2014-03-26,14976.06
2014-03-27,15023.52
2014-03-28,15208.33
2014-03-31,15268.86
2014-04-01,15234.19
2014-04-02,15309.71
2014-04-03,15468.11
2014-04-04,15406.36
2014-04-07,15214.86
2014-04-08,15500.65
2014-04-09,15683.98
2014-04-10,15599.68
2014-04-11,15748.54
2014-04-14,15634.76
2014-04-15,15758.07
2014-04-16,15830.16
2014-04-17,16202.18
2014-04-18,15990.04
2014-04-21,15946.35
2014-04-22,16174.61
2014-04-23,16181.22
2014-04-24,16064.95
2014-04-25,16094.44
2014-04-28,16090.88
2014-04-29,16311.74
2014-04-30,16338.78
2014-05-01,16321.1
2014-05-02,16478.89
2014-05-05,16298.09
2014-05-06,15925.55
2014-05-07,16383.97
2014-05-08,16414.8
2014-05-09,16465.84
2014-05-12,16470.84
2014-05-13,16583.34
2014-05-14,16625.55
2014-05-15,16906.86
2014-05-16,17006.58
2014-05-19,17511.19
2014-05-20,17729.29
2014-05-21,18295.24
2014-05-22,18410.29
2014-05-23,18298.63
2014-05-26,18535.31
2014-05-27,18299.82
2014-05-28,18289.11
2014-05-29,18646.12
2014-05-30,18925.56
2014-06-02,18739.6
2014-06-03,18836.04
2014-06-04,19292.02
2014-06-05,19136.1
2014-06-06,18673.19
2014-06-09,18623.16
2014-06-10,18573.19
2014-06-11,18492.81
2014-06-12,18984.45
2014-06-13,19220.96
2014-06-16,19218.28
2014-06-17,19355.3
2014-06-18,19351.48
